,댓글
0,🗣
1,"심각허다,, 법안 검토도 안 하는 의원들 내 세금으로 호의호식 한다 생각하니까 열받네,, 주민소환제는 또 반대했겠지.."
2,"차도에서 25km제한 둠 어쩌자는건지 자전거 오토바이도 그거보다 빠르다 인도, 차도 다 안되면 왜 만든것이며 자전거도로 인프라도 개판인데 면허 자격은 왜 없엔것이며.. 애들 장난감으로 보나.. 이론으로만 에코 친환경에너지 씨부리지말고 현실을 봐라"
3,국회의원직 다 박탈했으면 좋겠네ㅠㅠ
4,표 얻을 생각 말고 법을 만들어라
5,초딩 애들이 몰고다니는 형형색색 씽씽이 생각했나보네
6,저런것들을 국회에 앉혀놓았다니....쯧쯧
7,zzzzzzz ㅋㅋㅋㅋㅋㅋㅋ진짜 6갑들떤다
8,전동킥보드타다죽어나가봐야~~ 위험한줄알지
9,😡
10,정치하는게 제일 쉬운거 같다.
11,🤬
12,ㅡㅡ 급하게 만드는 법은 저런가봅니다
13,킥로드 업자들의 입법로비가 상당히 의심되는 규제완화.. 🤔🤬🤬🤬
14,애초에 규제완화 법안을 발의한 국회의원이 누구인가요??
15,"이건..좀..안타봐서 모른다고하면서 완화..하..여태 이렇게., 일한거에요?"
16,😢😢😢😢😢😢😢
17,국짐당이 민생법안 만들리가 없지..
18,ㅅㅂ 욕나오게 하네. 법안 폐기하고 다시 만들어라.
19,Korean companies burn Papua forests for palm oil
20,화재는 원인 조사를 통한 예방이 최선입니다 그래도 소방청 통계로 매일 발생하는 화재 117건 속에 오늘도 누군가는 돌아가십니다 화재 발생시 화재가 발생한 세대(방화구획)에 난로처럼 화염 연기와 유독가스를 가두는겁니다 현관 문틈으로 배관틈새로 배관속으로 건물 틈새를 통해 순식간에 계단을 화염 연기와 유독가스로 꽉채우고 이웃집도 그 틈새로 연통으로 순식간에 사방으로 확산되는걸 못막는게 아니라 안막는겁니다 ㅠ 우리집 화재로 인한 아파트 전체 화재 피해는 우리집 책임입니다 다른 집 새벽 화재는 우리 가족이 질식사합니다 틈새밀폐재인 방화재(Firestop)기준이 엉터리 짝퉁 국토교통부 내화충전구조용 방화제 기준 덕분에 오히려 인명살상용 시안화수소(유독가스)와 화염 연기와 유독가스를 마구 내뿜고 있습니다 눈으로 보고도 ㅠ 설마 ㅎㅎ 살인자를 방에 가두고 도망가실래요 문열어 놓고 술래잡기 하실래요
21,다들 비슷한 경험을 하실겁니다 오작동 화재감지기 덕에 스프링클러 연동 차단하고(화재시 스프링클러 50%가 작동 안함 꺼놓음) 사이렌 소리를 듣고 1분내 밖으로 건물 밖으로 나오지 못하면 계단이 화염 연기와 유독가스로 꽉 채워질수있습니다 연기와 유독가스는 다릅니다 유독가스는 손수건으로 막을수있는게 아닙니다 앞도 안보입니다 살아도 연기로 호흡기가 망가져 고통스럽습니다 화염 연기와 유독가스 확산은 못막는게 아니라 안막는겁니다 이유는 뭘까요 소관타령 법타령 모른척 무관심 덕분입니다 설마 소방청 통계로 매일 발생하는 화재 117건이 나에게? 나의 가족에게? 최대 희생자는 현장 소방관분들입니다 #소방관 여러분들이 화염 연기와 유독가스에 노출되는게 당연한게 아닙니다
22,X되는겁니다
23,문재인 대통령님 화재시 반복되는 연기와 유독가스에 의한 질식사가 전체 사망자의 70%를 차지합니다 전체 사망자의 10%는 장애인분들입니다 한국은 현장 소방관분들이 목숨을 걸고 사명감으로 두려움을 극복하고 연기와 유독가스속에 몸을 던집니다 화재시 반복되는 연기와 유독가스에 의한 질식사 못막는게 아니라 안막는겁니다 화재시 화염 연기와 유독가스는 화재가 발생한 세대(방화구획)에 난로처럼 가두는겁니다 선진국은 다하는걸 선진기준을 잘못 베겨서 만든 엉터리 짝퉁 국토교통부 내화충전구조용 방화제 기준 덕분에 노답입니다 문재인 대통령님께서 말씀하신 소방관 분들 평균 수명과 폐암 사망율은 충격적입니다 말뿐인 살아서 돌아오십시요😢 화재시 화염 연기와 유독가스가 줄줄새는 건물 틈새와 배관틈새로 배관속으로 냉난방비(탄소배출)도 층간소음 벽체 소음도 줄줄 섑니다 그린 뉴딜 ㅠ
24,킥보드주행자들도 도로교통법ㆍ신호 준수해야 합니다.자전거와 달리 도로위 교통신호 대기중차량들 사이사이 빈틈 공간으로 S자 주행합니다.킥보드타고 출퇴근 히시는분들은 이 편익성?으로 타고 다는거고요 #킥보드 도로위에서 show 하지 마시라고요#킥보드 도로교통법 준수해서 신호위반금지#과태료부과적용#은근접촉사고많다#횡단보도 녹색신호일때 킥보드 주행 대부분#킥보드 속도 빨라# 자치구 자전거 따르릉처럼 킥보드 타고 다닐수 있다#사용후 지정된 보관장소에 똑바로 보관하는 모범을 보여
25,전동퀵보드 자전거 다 안전교육 및 면허발급 시켜라 제발 다치기전까지 위험한지 모르고 타는 사람 많다
26,한심한.....노 답
27,@_inho0222
28,관리자 실직자 되게 생겼네...
29,쇼핑중독 😂😂
30,관리자 잘가요....
31,거지근성 ...
32,새벽에 프라다 보고 깜놀!구매하기까지는 힘들었...😭
33,오아 저거ㅜ살걸
34,이해불가
35,전산잘못등록한 사람은 짤렸게네 지금쯤은
36,@b7476747 오빠 ㅋㅋㅋㅋㅋㅋㅋ
37,@igeunyul 직원은 털탈 털리겟지 ㅠ
38,@_c.__.y 소오오름
39,@kimsdoubleu 와.....
40,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ @nary_2 @na2414 디져따 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
41,@xxsub_0510 살껄
42,@hyunt119 까비....
43,@kimchoroooong
44,@shej.sy
45,@loveeeely_jjin @vampireone311
46,@0.xa_xun.0 와..이거 잘못 처리한 사람 회사 쫓겨나겠는데??
47,아....이런법 개정말고 친척이진빚까지 조카한테 청구하는 그지같은법들이나 개정힌지
48,퀵보드를 잘못탄 학생들의 잘못으로 애꿎은 운전자만 독박을 썼네요.. 이럴경우 운전자는 뭔죄인지 모르겠어요.. 1인이 타야하는 퀵보드.. 핼맷을 써야하는 퀵보드 전혀 지켜서 타지 않은 학생들의 잘몰이라 죽은 사람이 불쌍한게 아니라 운전자가 얼마나 트라우마를 갖고 살아야하는지 너무 불쌍합니다
49,전동킥보드.....절대 위험합니다.!!!! 더 죽고나야 법을 바꾸지 말고...제발 위험성을 먼저 생각해주세요...운전하다가 심장 멎을뻔 한적이 한두번이 아닙니다. 걸어다니다가도 깜작 놀랍니다. 도대체 타는 사람만 신나하는 저 위험한 것을 어찌해야할까요?
50,잘 뒈졌다... 친 운전자는 무죄 해주자..
51,없애는게 맞다고 본다.
52,전혀 안불쌍해
53,타는건 좋은데 제한을 두는 법안이 필요 합니다. 인도와 자전거 도로 외 운행은 헬멧과 보호장비 필수(위반시 범칙금) 원동기로 규정하고 원동기 면허 소지 필수 안그럼 애꿎은 못숨 줄초상 납니다. 자동차 운전자들 안그래도 법 앞에 최약자인데 이젠 퀵보드까지 조심 해야하나요?
54,재미보려다 목숨 잃습니다..위험한건 하지맙시다..젭알...
55,퀵라니들 진짜 노답
56,돈에 눈이 멀어 사고를 부추기는 업체들과 엉망으로 법을 만든 사람들....
57,다시 법 개정하자
58,택시네...
59,잘타다가 요단강도 잘건너라
60,반대입장 한표
61,"Perasaan kecelakaan skuter elektrik ini relatif sering deh di Jakarta. Tapi mungkin karena pembatasan yang ketat, dampak kecelakaan ini bisa diminimalisir."
62,허접한 킥보드 법안! 발의통과한 국회의원들 가족들이 사고를 당해봐야 실감을 할텐데'''🙏
63,속도를 시속 10km미만으로 강제하던지 법안을 폐지하던지
64,자동차 운전도 13살부터 무면허로!!
65,지금 서울만 아니고 전국적입니다 얼마나 죽어나가야지 이법을 다시 강화할까요 중딩들도 초딩들도 도로에서 타고 다닙니다
66,킥보드는 자전거 도로에서만 타게 해야 합니다!!!
67,아무곳에서나 타고다니니까 사고나는거
68,@bright__55 wow 우리동네야 진짜🤭우리동네 고딩들 이럴줄알앗움
69,@day_1_e_ya 조심해서타야겠다
70,@seongae._.o
71,@justinjunsung 대깨킥 3콤보 영상
72,@vliovoletx 이거지 베라 앞에서 사고 난거
73,@dh2iya_
74,@jong.one.two
75,@beb_et_o
76,@eogml3633 검거
77,@_kimdongyoung
78,하......운전할때 퀵보드땜에 불안해서 미치겠는데 더 불안하게 만드냐....
79,중국처럼 2륜차 전용도로 만들면 해결됨
80,근본적인 문제는 정부가 오만광고질로 장려해놓고 규정은 없었다는게 문제요
81,킥보드 이용잔데 스스로 조심하는 수 밖에 없음... 자전거 도로 이용하고 신호 준수하고 속도 조절 잘 하고 전후좌우 주시 잘 하고...
82,법이 거꾸로 가는구나 좀있음 자동차도 그냥 타라 하겠네요😂
83,도로 법도 모르는애들이 저런거타고 막 다니니까 다치지 법을 제대로 규정해야지
84,아니 밤에 라이트도 안 달고 신호 표시도 안하고 지 멋대로 달리는데 이것도 교통법규 적용해줘야지 무슨생각으로 도로위를 당당하게 달리는건지..갑자기 튀어나와도 차가 알아서 피해지는줄 아나...
85,This is dangerous
86,제발금지좀요
87,아니..저런 킥보드 둘이 타는 커플들..생각이 있는건지..
88,퀵보드를 안타는게 답인듯
89,제발 쫌없애자
90,법은 표 앞에 무너진다
91,제발 인도로 좀 다니지마라
92,아이고.. 진짜 빙시들같어 킥보드 자체로도 너무 위험한데 저렇게 생각없이 타고다니며 배짱튕겨
93,부주의퀵보더들 때문에 도로교통법 개정하나?
94,이러니 개콘이 폐지되지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
95,지들이 퍼뜨려 놓고 온갖행세는 다하네 참 어이없음
96,지들이 퍼트리고 왠 오바여 ㅋㅋㅋ
97,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 반도체 취업가나요 ㅋ
98,이번엔 일본편 든다 일본 말이 맞을거 같은데 ㅋㅋ
99,욱길려고 한거면 인정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
100,방사능 때문이겠죠. 설마 ㅎㅎㅎㅎ
101,중국은 일본을 못 믿고 일본은 중국을 못 믿어서 서로 아전인수격 기사만...
102,ㅉㅉ👏
103,지랄을 한다!! 역격리 고맙다~~!!
104,보이콧해라 짱개나원시나
105,도찐개찐
106,"근데 중국이 퍼뜨린거도 맞고, 일본 방역체계 못믿겠는거도 맞는딬ㅋㅋㅋㅋ"
107,방귀뀐놈이 요란하네
108,증말 주접들 떨고 있네 적반하장 내로남불 오진다
109,쑈를 하네ㅋㅋㅋ
110,🤣🤣🤣🤣
111,🤣
112,이래서 요즘 개그맨들이 힘든거 아니겠어여? 👍🏻🎶
113,😆
114,즈그들이 쳐 퍼트려놓고 꼴깝떨고자빠졌네
115,쇼하고 있네 ~😄 안 됬다 중구그~
116,@s_diny_ @jjeong_eni @yuni_k_k @_h.mzzi 진짜 뒤지게 싫다 우뜩해?
117,@songi_k_ 팝콘좀튀겨와 같이보겤ㅋㅋㅋㅋㅋㅋㅋ
118,@brilliant_jaewon
119,@dmsgddl 지네때문에 온나라가 지랄낫는데
120,@harucom0715_ 짱개 짱개 짱개 짱개 짱개
121,@c__n1028 샹 ㅋㅋㅋㅋ 존나 방귀뀐놈이 성낸다고 어쩜 저렇게 뻔뻔하냐 ㅉ ㅉ
122,@hongtaekyu ㅍㅎㅎ 🤣🤣🤣
123,@bob.nail
124,중국: 우리가 이렇게 방역이 철저해! 일본: 우리가 이렇게 차단했어!
125,일본가면 100퍼 코로나 걸린다!!!
126,똥 묻은 개가 겨 묻은 개를 나무라네 🤷🏻‍♂️
127,만리 방화벽으로 세상이랑 단절되니까 지들이 세상에서 바퀴벌레 취급 받는 사실을 모르고 사네
128,ㅈㄹ을 한다
129,안 입으면 뭐라고 또 할거면서... 얘네는 걍 노답이네
130,짱꺄나 쪽바리나...
131,민경욱 믿고 쭉 가봐라..503번 당첨될거야
132,할아방 정신 차리쇼!! 노망이야😂
133,🤦‍♂️ @gop 💯
134,그래도 다 사더라고
135,디자인이 별로인데 흠 취소❤️
136,애플워치 살돈없어서 샤오미 미밴드5 차는데 이게 더 이쁨
137,@eunhye__3 우리도 마냥 기다렸으면 1월로...?
138,@geum0 앗
139,@_7.15c 역시 갓 애플
140,@jae_hyuk_97 와우....
141,"@anhyeeeeeeeeee 흐음 그래도 두줄 핵이쁜데,,,"
142,@yedarm_1217
143,@j00heyam 헐퀴...뉴스까지??
144,@jungwonlee
145,@h33_ya 👍🏻
146,@ssossunheo
147,@9.2.030.6 이것이 그 애플워치...
148,@yogursisluv
149,@ya._.miii
150,@ekabi_m94
151,@sjj_y 애플 불매~!!
152,@easy__hyun
153,@unageem 말이 많네 역시 ^^..
154,@k_gyu_iron 내가 기억하는게 맞는거야?
155,@marblegiraffe 너 얘긴데🤔🤔
156,@_kimhyeeun 헉
157,🗣
158,중국부터 잘 잡으라우!
159,말은 존나게잘해요 ㅋㅋ 말만 잘해
160,맞는 말인데도 전혀 신뢰가 안됨.
161,지랄하네
162,하 .. 하고 싶은거 다 해라 진짜 징하다 징해 진정 해야하는게 뭔지 모르나
163,알고나 떠드는지 최악🐕
164,제 가정이라도 줄여볼테니 티끌이 태산되어 탄산이 줄면 좋갯네용~
165,👍👍👍👍👍
166,또 세금 얼마 날리게?~
167,탄소배출량제로🙏🏻
168,눈빛이 그윽하신 문프님~ 이렇게 또 얼굴보니 행복합니다~
169,우리가 하면 뭐하누..... 주변국들은 신경도 안쓰는데
170,댓글들이 왜이리 무식할까?
171,오직 문대통령만 믿고 따릅시다😍 보수적폐언론 폐간 국민의짐 해산하는 그날까지
172,훠훠훠 아무뤼 그뤠도 뮈쉐뭔쥐 안좝슙니댜 훠훠훠
173,😊웃음만 ㅋ
174,"지랄한다,미세먼지나 잡아라 중국에 말도 못하면서 말은 잘도 씨부린다."
175,아나운서들 발음 연습좀 하길
176,👍👍👍👍👍
177,깨끗이도 발음 못하는 뉴스 앵커😱😱😱
