,댓글
0,백번 잘한일이다. 👍🏻
1,무엇보다 다친 마음이 회복되었으면 좋겠습니다!
2,스토커는 참으면 지나가는게 아니라 빨리 고소해야합니다 잘하신겁니다!! 좋은결과 나올꺼에요 마음 부담도 크셨을텐대 훌훌털어버리셔요~
3,힘내세요...!❤️👏
4,응원합니다🙏
5,어머😢너무힘드셨겠어요.정말 꼭 고소하고 대응해서 이겨내요.우리. 지치지마시고 항상 팬으로서 응원합니다.
6,언니 앞으로는 행복한 일만 가득하세요❤️
7,누나! 끝까지 힘내세요!!
8,"진짜 얼마나 맘고생했어,,, 빨리 마무리 될 수 있기를!!"
9,👍👍화이팅 절대 봐주지마세요
10,맨날 착한사람들만 힘들고 상처받는 것 같아요.. 언니 항상 응원해요❤️
11,할짓없는사람이네요 선처없는고소좋은것같습니다 응원합니다 화이팅
12,많은 일이 있었구나.. 현명한 판단에 박수보냅니다.
13,화이팅!!
14,힘내세요 🙏
15,🙏🙏🙏🙏🙏
16,힘내세요
17,👏👏👏 잘하셨어요...
18,힘내세요~👏👏👏
19,👍👍👍👍👍💪💪💪💪
20,잘하셨습니다 힘내세요🙌
21,참교육 해주시길... 화이팅 👏👏👏👏
22,참으면 힘들어요
23,응원합니다.👏👏
24,힘내세요!!!!!!
25,힘내요 무조건~!!
26,선처는 없는걸로 힘내세요👍👍
27,힘내여👍👍👍👍👍😍😍😍
28,하.....누나 힘내요!
29,힘내세요👏👏
30,고생많이했어요 용기를 응원합니다😍
31,좋은것만 봐도 모자랄판에...😭😭언니 항상 응원할께요💜
32,힘내세요 응원합니다🙏
33,많이 힘들었겠다ㅠ 조금만 더 힘내자!!!!! 넌 언제나 최고야!!!!👍👍👍
34,봐주면 안됨!!!!!!!🔥🔥🔥🔥
35,힘내세요..!!! 화이팅..!!!👍👍👍👍
36,응원합니다!!!😾😾😾😾 주겨버려.........
37,배우님 힘내세요👍
38,언니 힘내세요 ㅜㅠㅠ👍
39,힘내세요 얼마나 무섭고 힘드셨을까🙏🏻응원합니다 화이팅화이팅🙏🏻🙏🏻
40,힘내~~💪
41,밴님 이제 꽃길만 걸으셔야해요 ㅠㅠㅠ❣️
42,언니 항상 응원하고있어요❤️ 우리 앞으로 예쁜것만 보고 들어요‼️언니 화이팅!!!!!
43,다해배우님 힘내세요❤️❤️❤️❤️❤️
44,힘내세요 화이팅화이팅!!!!
45,힘내세요!!!👍
46,언니 너무 좋은 선택 했어요😍 진짜 대단해요!!!!! 꼭 힘내세요!!!!!!! 절대 봐주지 마시고 좋은 결과 있길 빌게요!!!!
47,승리하시길...
48,어떤놈이...
49,힘내요 언니편들이 응원할게요 화이팅❤️❤️❤️❤️❤️❤️
50,힘내세요 👍
51,❤️
52,용기 내주셔서 감사합니다 끝까지 힘내주세요ㅜㅜㅜㅜ❤️
53,힘내세요. 응원합니다!!
54,"스토킹이 조치가 안된다구요?? 너무하네요 응원하고 응원합니다 배우님, 끝까지 함께 지켜보겠습니다!"
55,늘응원합니다!!!!
56,"배우님 많이 힘드셨겠어요ㅠㅠㅠ그 사람 천벌 받았으면 좋겠네요,,,항상 힘내세요!!!"
57,"힘내세요 !! 이런 사람때문에 절망하지마세요 !!
응원합니다 화이팅 🤎"
58,힘내세요
59,힘내세요ㅠㅠ👏👏👏👏
60,배우님 너무 고생 많으셨어요ㅜㅜㅜㅜ 저사람들 꼭 배우님이 힘드셨던것 만큼 처벌 받았으면 좋겠고 배우님이 행복해지시기를 진심으로 바랍니다ㅜㅜㅜㅜㅜ😭😍❤️❤️
61,힘내세요. 참고 봐주는 것이 좋은게 아니래요. 끝까지 응원할게요!!!
62,언제나 응원해요!! 매일이 배우님께 다정한 날이길 빌어요 (۶•̀ᴗ•́)۶
63,힘내세요ㅠㅠㅠ늘 응원합니다...!!!!💪💪💪
64,힘내세요 ㅜㅜ😢👏🔥🔥
65,다해누나~~^^ 힘내~~~^^ 일체 봐주지마!^^ 알았지~~!?
66,그동안 고생 많으셨어요 소송 잘 되길 기도하겠습니다! 💪🏻💪🏻
67,언니 힘내요!! 언니 옆에는 언니를 사랑하고 응원하는 팬들이 있어요!!❤️❤️
68,응원합니다...괴롭힘 범죄 처벌 수위 좀 올려줬으면 좋겠어요
69,아자아자 화이팅 하세요.
70,다해님 힘내세요!! 그런 용기를 내시다니 정말 대단하신것같아요!! 잘 해결되길 기도할께요🙏🙏
71,정말 힘드셨겠어요. 배우님. 잘 고소하셨어요. 그런 사람은 마땅한 처벌을 받아야한다고 생각해요. 잘 해결되길 바라며 항상 응원합니다!👏👏👏
72,잘했네 속이 다 시원하당 🤣🤣🤣🤣👍👍👍👍👏👏👏
73,뭐든 도와드릴게요 우런니 캡쳐본은 저도 갖고 있으니 걱정마시고 우런니 힘내세요❤️
74,남의 불행을 자신의 행복으로 만드는 사람들은 처벌해야 합니다
75,정말 결정잘하셨어요!! 응원하고 있겠습니당!
76,힘내요 ㅜ ㅜ
77,다해배우님!배우님은 정말 그 누구보다 소중한 사람이예요 그러니 절대!포기하지 마시고 끝까지 힘내세요❤️
78,잘하셧어요 :) 힘내세요 응원할게요
79,"힘내셨으면 좋겠어요ㅠ 남자의자격때부터 다해님 목소리 듣고 진짜 목소리 좋다라고 계속 느꼈왔고, 응원해왔습니다. 기본을 모르고, 사람같지 않은 매너없고 자신밖에 모르는 이기적인 것들 때문에 상처받고 극단적인 선택까지 가는 일찍 져버린 안타까운 연예인들 보면서 참 맘이 아팠어요. 다해님은 이겨내시리라 믿고 응원할께요. 지지 마세요ㅠ"
80,허거걱~ 스토커!! 이사람 처벌 쌔게받았으면 하네요~ 조금더 힘내세요~~~~~
81,다해님 힘내세요💜💜 언제나 응원합니다👏
82,진짜 스토커에 대한 법적처벌이 넘 미흡한 것 같아요 꼭 강력한 처벌을 받고 정신 좀 차렸으면 좋겠습니다
83,소송이 빠른 시간안에 해결이 되기를 바랍니다. 지칠까 걱정되서요. 항상 응원합니다~~🤗
84,잘하셨습니다~ 때론 참된 교육과 응징이 필요한법이니까요
85,@leeco24 헐 그때 그 방송에서봤던일인가ㅜㅜ 아직도 해결이안됐나봐...진짜 얼릉 마무리되셨으면좋겠다ㅜㅜ 꼭 그사람 처벌받길 나쁜놈🤬 배우님 힘내세요!!!
86,언니 그간 맘고생 많았겠어요ㅠㅠ 힘내세요!!!!!❤️❤️
87,언니꼭퇴치해요!! 언니잘못없으니까안좋은생각하면안됩니당
88,얼마나 힘드셨을지 정말 마음이 아프네요 ㅠㅜ 그래도 드디어 고소가 진행된다는 소식을 들으니 기쁘고 다행입니다! 부디 법적처벌 잘 되고 배다해배우님께서 더는 그 사람으로 인해 힘든 일이 없으시길 바랍니다 항상 응원합니다!
89,좋은소식이 들려오길바래요~^^
90,이런일이 있었구나...ㅠㅠ 그동안 얼마나 힘들었을까..정말 세상에는 이상한 사람들이 많구나..ㅠ
91,저런 나쁜너므시키...다해님 힘내세요~~❤️❤️❤️❤️
92,언니 이게 무슨 일이래요?ㅜ 착한 언니한테 어떤 미친 쓰레기가 스토커 행세를 해요? 협박은 안당한거에요? 그 인간 잡힐때까진 힘내세요ㅜ
93,".
잘 하셨습니다 !
목격자 참고인 진술 필요하시면,
그동안 capture해놓은 자료가지고,
휴가내서라도 진술하러 가겠습니다.
(분위기 안맞는 댓글이 될거 같으면 자삭하겠습니다.)
Capture 목록(다해님 인스타)
날짜는 다해님 인스타, 댓글 삭제전 capture본입니다.
1. wlfk~  : 9월14일, 9월15일 #1, 9월15일 #2 , 9월16일
2. dudtlr~  : 10월9일, 10월11일
3. hkhk~  : 키쏘커피오픈일
4.kioi~ : 10월31일 이후 인스타, 라이브방송 내용
================================
 sh012~ : 10월7일 라방내용.  
기운 잃지마시고 항상 행복하세요~
화이팅입니다요 !!"
94,자책하실 일이 아닌데도 자책하게되는 상황 너무 슬프네요 ㅠㅠㅠ 열심히 증거 모으셔서 고소하신김에 못된놈들 엄청 혼내주세요!!
95,잘햇네~~ 아쥬 미친것들은 매운맛을 보여줘야돼!!! 핫팅!!
96,언제나 항상 응원해요!! 아름다운 노래와 좋은 영상으로 저희를 힐링시켜주시는 다해언니 지치시지 않도록 항상 응원할게요!! 나쁜놈들은 역시 참교육이 답이죠!
97,응원해요! 정말 세상에 이상한 사람 너무 많아요.
98,힘내세요 저런놈들은 보면 아무생각없는 것들이지만 늘 피해받는사람만 고통받는거예요 피해받으신거에대해 가해자들에대한 법적처벌이 내려지길 응원하겠습니다 힘내세요👏👏🔥🔥
99,"언제나!!! 탈모를 기도하겠습니다!!!
언제나 무좀을 기도하겠습니다!!!
화이팅입니다!!! 👏"
100,다해배우님 힘내셔요😭😭😭😭 항상 응원할게요!! 화이팅😍😍😍
101,아.. 혈압;; 언니 진짜 힘드셨겠다.. 용기 내주신거 너무 감사한 일이에요 배우님 앞으로도 저런애들 고소하기루 해요ㅠㅠ 절대 봐주지 마요 언니 사랑해요~~❤️
102,아고...진짜😡
103,에구구..
104,누나 화이팅!!!👍👍👍
105,세상에나.그동안 정신적으로 얼마나 힘드셨을지. 한번으로 제발 끝나면좋겠어요🙏🙏
106,많이 힘드셨겠어요...고소했으니까 좋은 결과 나올꺼에요~힘내시고 항상 좋은 일만 가득했으면 좋겠습니다^^
107,응원합니다. 선처는 없는 걸로👍👍👍
108,👍👍👍👍👍👏👏👏👏👏
109,잘한 선택이세요 이제 또다는 복잡한과정 시작일텐데 어떤 상황이 발생하더라도 나 때문인가?? 이런 의문갖지 않으시면 좋겠어요 힘!!!
110,힘내세요!
111,ㅜㅜ 맘고생 많으셨겠어요. 앞으로는 좋은 일만 있기를 기도할께요😢
112,배우님 화이팅 ❤️
113,👏👏👏응원합니다 🙏할께요
114,잘했어언니👏
115,누나 우리들이 지켜드릴테니 힘내세요💖😍🙆‍♂️
116,연약한 여자이자 한 집안의 딸로 배우이신 소중한 분을 괴롭힌것은 용서 받지 못할일입니다. 정당한 고소인것 같습니다. 힘내세요.
117,응원합니다!!!
118,응원합니다 힘내세요!!!
119,언니 고생많았어요 😢 진짜 다 제대로 벌받을거에요 .👍🏾
120,다해님😭😭 마음 고생 심하셨을텐데 앞으로 꽃길만 걸으세요! 🙏🏻
121,А можно на русском?
122,제대로 혼쿠녕 내주세요.항상 응원합니다.
123,응원합니다 배우님
124,너무 힘드셨겠어요 ㅠ 잘될꺼에요 화이팅!!!!!!!
125,헐..😭 이런 무서운일을 겪고 계셨군요. 꼭 다시는 이런짓 못하게 처벌이 가해지길 바랍니다. 그리고 절대!!!!! 무서운 말씀은 하지 마세요!!! 아자아자!!!!
126,끝까지 힘내세요!!!! 제발 그 나쁜놈이 언니가 힘들었던 만큼의 구형을 받고 뼈저리게 후회했으면 좋겠어요!! 두배도 안바래요 진짜
127,응원합니다.
128,저런 나쁜사람은 벌금 과 탈모를 선물해 주세요 항상 응원하고 있을께요 홧팅!0!
129,힘내세요 !! 아울러 우리나라 스토킹 법안 좀 제대로 만들어지면 좋겠네요 ㅜㅠ 👍🏻👍🏻
130,힘내세요👏👍
131,네. 이제 참지마세요. 💪
132,세상은 넓고 또라이들은 많으니......... 어찌 이리도 괴롭히는가요 ㅠㅠ 용기 내셔서 용서 하지 마시고 단호하게 대처하시길
133,오메나...힘내세요!!!! 나쁜생각하지않기용😭
134,응원합니다ㅠㅠㅠ!!!🙏🏻🙏🏻
135,힘내세요
136,결혼하면좋게네요
137,남편이도와주니까
138,힘내욤~^-^😲
139,스토커짓할 열정으로 다른걸 했으면 훨씬 성공했겠는데 말이죠;;😢
140,정말 잘하셨어요~~~~ 힘내세요! 응원합니다!
141,힘내세요👍👏
142,힘내세용🌷🌷🌷
143,힘내요❤️
144,힘내시고 그런 악플러는 따끔한 처벌 받았음하네요 응원하겠습니다
145,잘했어요. 그동안 정말 맘고생 많으셨겠네요. 제대로 된 처벌 받고 더 이상 맘고생 하는 일 없었으면 좋겠네요.
146,👏
147,그런 일이 있었구나 힘내 💪🏻💪🏻💪🏻
148,힘내요👏👏👏👏
149,다해씨~~이번만큼은공인이아닌그냥한여자입장으로만쭉밀고나가주세요
150,응원합니다!! 😁😁
151,반드시 승리하길 응원합니다👏👏👏
152,👍👍👍정의구현!!!!
153,다해 배우님한테 이런일이 있었군요. 힘내시길..응징합시다
