,댓글
0,@doyaki_ 아이유졸귀
1,존나귀엽네 ㅅㅂ 진짜
2,누가봐도귀엽네ㅡㅡ
3,그저 빛이유..❤️
4,@sudaeng_j
5,@hancool7
6,@_minseo_e 아 존나우ㅜㅅ거ㅠㅠ큫ㅋㅎㅋㅎㅋㅎㅎㅋㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋ켜캬ㅑ캬켜ㅗㅋㅎㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋ
7,@ham.o._.723 와 ㅋㅌㅋㅌㅋㅅㅂ ㅋㅋㅋㅌㅋ
8,@smile_hkhh ㅋㅋㄱ개웃겨봐봐
9,@bo_eun030 제발봐ㅜ
10,@subini.i ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11,@yejunny_02 개조아 이런분위기
12,@yongwoo1994 겁나잘춰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,@7.lone 니 저기서 뭐하노
14,@soo8o7_.y 대박잘해ㅋㅋㅋㅋㅋㅋㅋ
15,@hoonsung0217 이건또뭐람ㅋㅋㅋㅋ
16,@bobo.ya 우수범생각나는 이유좀
17,@jyeo_oj
18,@jung.__.sun 개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋ
19,@hong.mp 왜 너가보이지!?
20,@do_ojae ㄱㄴ?
21,@yummbeee ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,@s_eun8i4 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ매력ㄷㅇ
23,@jaeni__s2 재은이도 할 수 있을듯
24,@hye_limu ㅁㅊㅋㅋㅋㅋ개웃기넼ㅋㅋㅋㅋㅋㅋㅋ
25,@hye__xxn ㅋㅋㅋㅋ아 개웃겨 진짴ㅋㅋㅋㅋㅋㅋ
26,@eunoia_ha_
27,@hxxyeonn @k_y_u_vely ㅋㅋ
28,@yoonee._.0923 ㄱㅇㄱ
29,@so_ovin20
30,@_eun__ggang_ 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
31,@chaeri._.n 걸스데이 언제부터 5인조였음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
32,@so._.young._.1115 미래를 보고왔읍니다.
33,@nin_ddo @min_111316 ㅋㅋㅋㅋㅋㅋ
