,댓글
0,@i_am_bigstar
1,옆에 환자부담 총액 144만원이 부담액 아닌감?
2,어디서 구라야 ㅋㅋ옆에 140나와있는네
3,대한민국 만세~~^^
4,진료비 총액이 970이고 자비부담이 144정도로 보이는데요. 44000원은 이미 진료비를 내서 통장입금에 찍혀있고 기타에 남겨진 140이 차액 빼고 남은 잔액으로 보입니다.
5,돈이 문제가 아니라 후유증으로 신체적 기능장애를 갖고 살아야함
6,보험료내면 이렇게 지원받는구나.. 부담이 덜가서 다행이긴하지만 안걸리는게 최고징. 건강들하세요~
7,144도적다 ㅇㅂㅇ
8,이거 중국인 한정으로 하는거라 했는데
9,@cheche0_0 저거 원 빼고 달러 붙임 미국이다 사만사천불
10,@hyun_m_in
11,@s.______________.y
12,"@roco_brow 19일,,144만언,,후유증..."
13,@monnani_01
14,@cactusha7 19일...
15,@agzak_yumyum 밖에 돌아다니디마..
16,@alice88cantabile
17,@onion_0515
18,@ayoung_116 @happyisminee ?!!
19,@hbxxyeol
20,@ian_djean 갓코리아
21,@s_yj0922 앜ㅋㅋㅋㅋㅋ
22,@s__takuya_ 류승룡 ㅋㅋㅋㅋㅋㅋ
23,@_elizabeth_wee
24,@assibball
25,@munseungyeon120 ㅋㅇㄹㅋㄹㅇㅋㄹㅋㄹㅋㄹㅋㄹㅋㄹㅋㅋ
26,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠ 엉엉엉 ㅠㅠ 너무 웃겨ㅠㅠㅠㅠㅠㅠ
27,ㅋㅋㅋㅋ
28,@tu__yn @thejisooeffect 아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이거 왜케 웃기딬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
29,@mynameishojinsonilovehaein ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ넘 웃김
30,@cheol123456789 이거봨ㅋㅋ
31,@iamminseo_ 이거그나ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
32,@jzun_0v ㅋㅋㅋㅋㅋㅋ어이업누 ㅋㅋㅋㅋㅋㅋㅋ
33,@noel01 ㅋㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ 아 웃겨
34,@yb__me 아 학교에서 이거 보고 개터졌는데 저기 준면이 있어... 준면아ㅠㅠㅠㅠ
35,@yoo_ej_b 홍상숰ㅋㅋㅋㅋㅋㅋㅋㅋ
36,@ss__ju_ 성주이거봤냨ㅋㅋㅋㅋㅋㅋ
37,@rhfltkfkd_lee ㅋㅋㅋㅋㅋㅋㄱ이거너무웃겨 ㅋㅋㄱㅋㄱ
38,@min._.g02 알수없다 이동휘...ㅋㅋ
39,@hyewoniyaa__ 이거봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 핵웃김
40,@__sbiiiii_ @_m_seo_ ㅋㅋ이거넘웃긴데ㅋㄱ
41,@_myming
42,@juhyun8416 @sky_0607_
43,@leehyunseo703
44,@thhat_girls 아 ㅋㅋㅋㅋㅋㅋㅋㅋ @jjjoopp_00 ㅈㄴ웃기다
45,@yoo.__.oon 홍상숰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
46,@yye__m31 개웃곀𐨛 𐌅 ࠅ 𐨛 𐌅 ࠅ 𐨛 𐌅 ࠅ 𐨛 𐌅 ࠅ 𐨛 𐌅 ࠅ ㅋ ㅋㅋㅋ
47,@an_na.zz @joraeng_
48,@imur__g 나 이런 거 너무 좋아해 ㅠㅠㅠㅠㅠㅠ 개@웃겨 배꼽빠짐
49,@s_u6y ㅋㅋㅋㅋㅋㅋㅋㅋ
50,@u_u_jjung @chhyeurnrny @mini_kong__ 짜증나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
51,@tongi.tong 논란 웃긴닼ㅋㅋㅋ
52,@nahaenii
53,@sebini_indaeyo_ 이동휘를 확대해서 보게 될것이야
54,@hyeeeelin
55,@gaeonii_ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
56,@oeo.20 4.준며니두 있슴...
57,@song_m2 아 넘 웃겨요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
58,@daeuuni_i
59,@u___j__26 이거먼데개웃기냐
60,@d__ong__j
61,@8_26k
62,@l22sol ㅋㅋㅋ
63,@zvznaqup
64,@_uuuuuuuy_
65,@_03_12_02
66,@yjh921019
67,@namdongs_
68,@jihyunee_416 ㅋㅋㅋ ㅋㅋㅋ 고작 저걸로 웃는게 어이없네
69,@xlucia_sunnyx 요즘 이거 왜케 핫한고지
70,@youareluhhh ㅋㅋㅋㅋㅋㅋㅋㅋ
71,@hayoon_hagyeom_mom ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
72,@__juyoon__ ㅋㅋㅋㅋㅋㅋㅋ
73,@i_am__mvely @narae_sss
74,@tldn.did
75,@m1njae98 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ반전에반전
76,@wearethesea_ 존나 웃김 씨밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
77,@t_a_kk 홍ㅋㅋㅋㅋㅋㅋ상ㅋㅋㅋㅋ숰ㅋㅋㅋㅋㅋㅋ
78,와우 🤣
79,@jinhyeong_mon
80,@bg_or_bk
81,@pentaangel ㅋㅋㅋ 가능?
82,@seungmoon 이정도는해야
83,@seye0n_123
84,@pakjunroe ㅋㅋㅋㅋㅋㅋㅋㅋ
85,@j.in.0
86,@zzi_yena 수영은 배워두면 좋응거야
87,@jaeil.1979 대박쓰 ㅋㅋㅋ
88,@reve.tile ㅋㅋㅋ지려따
89,@dytalewoo 수영 배워야겠네요..
90,@dujjing_lee
91,@ebboyong_240
92,@jyeoning59 백만원 백만원 백만원
93,@seungyun.cho 대박 ㅋㅋㅋㅋㅋ
94,@_d_e._.1
95,@s_b_iiin
96,@sy__9287
97,@kimjuyoung739
98,@myluv_srjh
99,@_x_uji 스릴 쩔어
100,@changuk._.k ㅋㅋㅋㅋㅋ대박
101,@byeongdeok_in
102,잇프피가 불복종이라니...
103,힉힉호무리
104,고.집불통이라. ..
105,힉힉호무리맄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
106,앜ㅋㅋㅋㅋㅋ 난 개썅마이웨이ㅋㅋㅋ
107,@kiwicherry90 제발 mbti 백번 활용해서 토론 다 발라버리고 싶다.....
108,@pbbless_86 이창섭 ESTP?
109,@linker_dolce 유종태 INFJ ㅋㅋㅋㅋㅋㅋㅋ 유은진 ENTJ ㅋㅋ
110,@sugar_tagi 설탕아 🤭 유용한 정보다
