,댓글
0,멋져요! 대한민국 화이팅 문재인정부 화이팅💙💙💙👍👍👍
1,멋져요!!!
2,👍👏👏
3,우와~ 대한민국 문재인 정부 응원합니다!
4,👍🏻👍🏻👍🏻💙😀😀
5,🙌🙌🙌
6,아~~~~👍👍👍 소름이 돋네요 !!!!!!! 미쳐 공중파에도 내보내 주세여 !!! 단한명도 못본 시민없게 ...... 이나라의 국민으로써 할수 있는건 최선을 다해서 하리라 다시 다짐 !!!!!💙
7,🙊👍👍👍👏👏👏
8,❤️❤️💙💙👏👏💕💕😊😊
9,대박~~♡♡♡
10,❤️❤️❤️❤️❤️
11,👏👏👏
12,👏👏👏👏👏
13,🔥❤️
14,우리가 이긴다 국민 덕분에 이니 덕분에 이문덕💙💙💙💙💙
15,대한민국 최고에요 !!!!!!!💙💙💙💙
16,💙💙💙💙💙💙💙
17,같이. 좀 더 힘내볼께요. 대한민국 👍
18,아..뭉클하네요ㅜ
19,👏👏👏👏 짱 멋있어요!! 고마워요~
20,👏👏👏👏👏대한민국 우리모두 해낼겁니다!
21,드론쇼는 언제봐도 멋지네요🤩🤩🤩
22,👍👍👍👍👍👍
23,👏👏👏👏😍😍😍
24,와!!대박!!언제한거죠? 전국민이 볼수 있게 해주셨으면.
25,👍👍👍
26,정말 감동입니다 대한민국화이팅!!
27,@dusnim_ 네가 본 거!!!!!
28,@brilliant_jaewon @eunyeong.no2 멋잇당
29,@minji_april 우왕.....진짜 멋지다
30,👍👍👍👍👍❤️❤️❤️
31,👏👏👏👍👍👍
32,@tjdrhs_ 와 소름돋는다 ㄹㅇ
33,4차산업혁명의 성과창출 돌출됩니다!젊은이에게 희망을 열어주십니다.😀😄🤩😍
34,너무 감동적이에요!
35,👍👍❤️❤️👍👍👍
36,💙💙💙💙💙💙💙💙💙💙
37,👍👍👍최고예요
38,👏😍
39,감동 입니다~👍👍👍함께 응원합니다 ~
40,🍜🤷‍♂️
41,국민덕분에 문재인정부덕분에❤️대핫
42,우와!!! 왜 이런건 인스타에서밖에 못보는걸까요 유투브 생방송 해주셨음 더 좋았을텐데
43,아예쁘다✨
44,와~
