,댓글
0,형 팬들한테 수백마리 잡아서 대접한번 해도 좋을거같다고봐
1,활어를 저렇게 튀기듯 구우면 맛이 없을수 없다고봐👍
2,히트치셨네요 🥳
3,비쥬얼미쳤다👍
4,무조건 구독해야고된다고봐👍
5,형 진짜 미쳤다 미쳤어 오늘 저녁 생선각이야!!
6,나좀데려가요😢
7,세상 맛있겠네요 😢
8,그러게요 😋
9,긴따로???
10,형 세상에서 제일 맛있는 생선 먹으러 가야하니까 전화좀.....🔥
11,우와👍👍👍😍😍😍
12,형 미쳤다~~🙈
13,저 귀한 홍합
14,😍😍
15,아 ㅈ나 부릅네
16,긴따로네요 맛있습니다!👍
17,가시를 넘 귀엽게 발라먹는다고 봐~🥰
18,완도까지? 아니 rapper 겸 mapper 야? 🙌
19,구독과 좋아요는 사랑❤️
20,섭인가?ㅠㅠ
21,시작부터 너무 좋다고 봐
22,형 조업나가서 구독자이벤트 할 생각은 없을까??
23,우와 제 고향 청산도네요♡ 아직 부모님 살고계세요 반갑네요 ㅋㅋㅋㅋ
24,먹는것만 찍지말고 낚는것도!!
25,하악
26,열기 튀김이라니 ㅠㅠ
27,대박..!!!!!!👍
28,@dear_my_lovely_seongjun_ 완도...?
29,@sayh_o 통영가서 먹었던 생선구이 생각나 또 먹고싶어 ㅠㅠ 볼락구이
30,알럽알럽 완도💕 맛잇는거 엄청 많아여 많이 들려서 많이 드셔 주세욜^^참고로 메생이굴국 꼭 두셔야함니당🤗
31,모야 이거 열기야??? 형.... 너무해
32,형 쏨뱅이야?
33,"@hojunmoon 그가 돌아왔다,,,"
34,"체고 ,,🤭"
35,슬쩍보고 홍학 튀기시는줄🙊ㅋㅋㅋ
36,@lee_jae_seung_ 낚시 화이팅
37,진짜 너무 맛있게드신다고봐ㅠㅠ 군침이 난다고봐아아악
38,엄마하고 코스트코에서 같이가서 그린홍합 구매해서 삶아 데쳐먹으니 먹음직스럽더라구요
39,도시어부에서 못잡으셨자나여 최자님
40,haha
41,손가락까지 먹을기세라고봐
42,@reumeeee 이생선이야!
43,항상 감사히보며 행복한 식사중입니다.
44,@reallikehobin 오늘 이건 꼭 봐야한다고봐
45,우와!!! 저 빨간고기 최고 맛남❤️
46,@mjunyeol91 우리가잡은거당ㅋㅋㅋ
47,홍감팽
48,섭 맛나보여요
49,완도 가셨다면 차타고 마량으로 가서 거북횟집 꼭 가세여 짱맛집👍
50,@leseye1130
51,ㅋ
52,❤️
53,@choiza11 😍😍
54,가쟈 시즌4 @rlantjd
55,@chefindiary
56,오빠 쏨뱅이 먹으려고 들자마자 술톤
57,1
58,미쳐따........😍☺️☺️😍☺️
59,쏨뱅이 튀김이라. 이 형 미식가네 🤟
60,열갱이이ㅣ이ㅣ?
61,쏨뱅이와 섭💎
62,오빤 탕수육 부먹이에요?
63,"밥묵자 언제 맛난걸로다가 언제 굴,고기,면 다좋아"
64,일산 뿅의전설은..그냥 그렇더라고요...
65,세상에서 제일 좋아하는 굴은? 오빠얼굴❤️
66,짬뽕 두그릇 먹구싶다ㅜㅜ 아;;;;
67,@cameldolphin 형님 야탑 다녀가셨다..
68,@p_sw23 여기 보삼
69,@merryzzy
70,"@11.56tu 영..이거바바..굴짬뽕 미쳤냐구,,"
71,@jae_lyn99 wow
72,@1.16yj @bbu_wooooo 최자가 뿅에 행차하셨따리🔥
73,@revi_reveryday__ 너와 먹던 굴 짬뽕 생각이 나는 밤
74,@younghwan.kim.75436 ❣️
75,@e_hyein_ 야.....
