,댓글
0,이모한테 잘해주세요~~
1,워킹맘이 얼마나 힘든지 겪는 사람은 알죠 ~ 그래도 아이는 엄마편이라더라구요^^ 저는 워킹맘에 싱글맘이지만 ~ 저희아이가 항상 힘내라고 사랑한다고 해줘요 하루하루 힘내고 있어요 -!! 언니 항상 힘내요 -!! 사랑해 고마워 미안해 항상 아이한테 해주세요 ㅋ
2,언니 이모랑 힐링 하셨네용 이모랑 영원히 함께 하면 좋겟어용ㅎㅎ저도 인연이죠?
3,인복이 많으신거같아요.아기키울때 도와주시는 좋은 분 만나기 힘든대요
4,중국 낯선 땅에서 중국어 독학으로 배우시고 2개 언어 쓰시는것만 보더라도 매순간 순간 최선을 다하시는 모습 응원합니다 👏보이지 않는곳에서 후원 하시고 봉사 하시는것도 들어 내지 않으시고 하시는 모습에 감동 했어요😍😍
5,바구니배 보니 베트남 다낭 여행도 이모님과 같이 다녀 오시고 한가족 처럼 살갑게 살아 가시는 모습에 너무 보기 좋습니다. 평소 매순간 최선을 다해 열심히 살아 가시는 모습이 눈에 보여요 그래서 복 받아 진화씨를 만난것 같아요 보여지는게 다가 아닌 것을 알아요~^^ 다른 연예인 같으면 그렇게 다르게 보여 지는거 싫어서도 촬영 안 하실텐데 갈등 연출하는 컨셉에 타격을 받으시면서도 시청자들에게 다양한 모습을 보여 주시는것에 진정 프로심을 느낍니다
6,"오우~멋지다! 남의 인생을 어떻게 알아, 사연이 다 있겠고 처한 상황이 다르겠지. 딴사람 댓글이 궁금한가? 자기인생 알아서 사는거지 조언한답시고 뭘 가르쳐. 제가 달았던 댓글도 읽으셨나요? 신기방기네 ㅋ"
7,뭔일이 있었나보군욥ㅎ마인드 매너 멋져요👏👏그부분 응원해요👍저는 시어머님팬이기도한데여 넘 재미나심ㅎ근데 소원님 방송나오는 에피소드중에 방방봐.하기 힘든거도 있어요 애기부분 근데 방방봐.해야지 뭘 어쩌겠어요 하지만 손에 땀이 나게하는 불편함이 가끔 있어요 소원이 잘못도 아니고 남의 가정사이가한데 설마 진짜인가.싶은 거도 있어요ㅎ 방송이 방송을 위한 방송이지않길바래요 행복하세요 건강하시구 응원합니다
8,신발은 맞게 신기세요..발이편해야죠ㅜㅜ신발크면 발이돌아서 뼈에도 않좋을꺼예요....ㅜㅜ
9,어우 소원님 진짜 존경스러워요 사람으로서 정말 강하신분같아서 본받고 싶네요 저는 항상 응원하는 1인입니다💕
