,댓글
0,으아아악 저도 짜파게티 끓여야겠어요
1,우울한 밤이에요..😔
2,🤗
3,오빠 야식 노노🙅‍♀️
4,차돌에 촛점이 똭😍👍
5,엄허 오빠 넘 맛있어보여요
6,항.......🤤
7,형혼자 야식?
8,맛있어보여용. 저번에 무엇이든물어보살에서 힘들어하셨는데 잘 쉬면서 활동하시는거 보니 보기 좋아요!
9,우와아아아앙 너무 맛있어보여요 😭😭
10,와우~
11,😂😂😂😂😂👍
12,으악 이시간에너무해너무해
13,😋😋😋와~
14,근데왜 살이안찌는겨~~ ㅋ
15,😍🌈푸짐하지 않아서 좋으네요~^^ 마구 먹고싶어지는 음식이네요 그냥 손이 스윽~~뻗어 질것같아요 저는 요즘 왤케 음식들이 맛있는지... 12월 쇼도 있으니 조심조심해야죠~ 오늘도 해피데이되셔용😍🌈
16,맛있겠다. 저도 방금전에 피치클링 주문했어요. 복숭아를 좋아해서...칵테일도 피치크러쉬를 좋아하고요. 기대되요. 맛이 어떨지...
17,"""맛있겠는데요""~~"
18,맛나겠서요.. ^^ 술안주로 딱 !! 그만 ^^
19,먹고싶은거 참다 잠들었는데 맛있는거 드셨네요^^
20,🙌🙌🔥🔥
21,야식은 사랑입니다 맛있게 드시고 소화 잘시키시고 푹주무세요👍👍
22,야식도 르크루제에 담기니 간지도 좔좔.
23,이시간에 이러지 마요~~ㅠㅠ
24,음료보단 맥주가 어울리네요..^^;
25,항상 응원합니다.👍👍👍
26,Here come the yummy food again 😍....
27,살짝 잠은 깨셨어도 알차게 드시네요~ 평안한 밤 되셨길 바래봅니다!! 화이팅!
28,악 괜히봤다 ㅠ
29,형 살안찌는 체질이세요? 저 예전에 슈트 입으려고 다이어트 중인데. 근데 공부중에 이걸 봤어요. 공부에 집중 안하고 인별그램 켜서 벌 받는가 봐요. ㅠ ㅠ
30,거제도 놀러오세요 ㅎ 닭갈비드시러~ 항상 글보며 힘내고 있어요^^ 맛있는 닭갈비 대접하고 싶네요 ^_____^
31,머찐두분👍👍👍
32,아까 인사드렸던 일반인입니당😍
33,사진 좋네용
34,정말 멋져요 👍
35,와 류준열 😆👍
36,정팔씨ㅎㅎㅎ
37,좋은 두 분을 같이 보게되서 좋네요^^😊👏👍💐
38,저희 회사 배우님~~
39,류준열씨는ᆢ깊이있는?배우같습니다
40,류준열님은..사랑입니당😍ㅋㅋ석천오라버니도..사..사....😝
41,준열# 얼굴 좀 자주 보자 티비에서 ㅎ❤️❤️
42,와~ 류준열씨 이런면이?🤩🤩🤩
43,어우 잘생겼다
44,👏👏👏👏👏 This is exciting
