,댓글
0,진짜 이성당 보단 오남매
1,맛있고 소화 잘되면 어디든 좋아
2,헐 여기 앙녀고 근처 아녀?
3,프랸차이즈. 나쁩니다
4,@ji_9_9 빵 사온나
5,@kkou_jin @hhhhong_ @jy_primavera 여기서 유진이는 큰 자부심을 또한번 느낍니다😂😂
6,@jjan_hee 군산왤케멋있어
7,@jii__yi 어딘지 알아 ?
8,@b.syeong 군산가까!
9,@won1957
10,@dh99_0124
11,@lee_h_ran 여기 지나다니면서 엄청 봤는데
12,@hh.wwi 빵시스타 모이라
13,@gamza_xo 언니 여기 먹어봤늬 hoxxxy?
14,@ye12012 알아?
15,@ull__lim 왜 익숙하지
16,@wxxseon 군산~~!!
17,@gb_dzunhbnny 여기를 갔어야했네
18,@bu_zzzii 여기 맛있냥
19,@flykwon9925 나 여기 데려가줘!!!’
20,@peaceful.on 군산 빵먹으러 갈래
21,@hyemin1025 우리 군산갔을때 여기 지나가다가 들어가지 않았었니😭
22,@seul_jj_ 다음여행지 여기...?빵먹쟈ㅠㅠ
23,@dayongnam 자랑스럽다~~!!!
24,@zdlstod 빵보고 눈돌아가서 군포로 읽음
25,@be_lock__ 🌝
26,@mdoong_u1 여기알옹??
27,@minzy_91 여기가 언니가 우리 데려갓던곳인가?
28,@warny_belly_
29,@soon7ae 빵돌아❤️
30,@dongjae94 여기도 가보쟈!!
31,@1km.00 군산의 아들
32,@moon._.00 군산빵집이다요
33,@dong_honey1019 이성당보단 여기래
34,@xexxii_ 다음엔 여기가자....(?)
35,@e_onl 오!
36,@yuna0429_
37,@jively_3824 고향갔다올때 빵
38,@boxin829
39,@miri_0304 언니가 사다준 빵 여기꺼야... 춈맛...
40,"@donguri.o 군산이래, 여기 알아?"
41,@cheol__cc 군산 빵주먹님 여기 아시는가
42,@moonnoom_mee 군산이야
43,@kusamaisdad
44,@bom4835 상황 좋아지면 가보자 ! 😊
45,@lee_sm0205 ㅋㄱ
46,@myeongbbanggu
47,@hyoj_0211
48,@mayblum_ 어여 사와
49,@ji_nseo
50,@seung_nam__ 오남매를 갈 걸 그랬어
51,@j_bin1122 진짜로 시험만끝나봐 여행가자빵지순례
52,@ye_three____
53,@im_sojeonge ‼️
54,어릴땐 껌을 삼키기도했는데😱😱
55,껌안녕...
56,하나하나 줄여 안사면 몇푼 안되도 생활비도 줄여지고 내 몸도 좋아지죠
57,으악... 껌 씹는것도 그렇지만 간혹가다 삼키기도 했는데... 어쩔 ㅠㅠ
58,롯데 플라스틱 표시도 안하네 😂😂
59,배신감..
60,@2h2_won @2_s00hye0n_ @sekdo._.stagram @whooo_19
61,"@eunrin__mom 헐,,,,,,"
62,@se_z00 @hj_oo24 @jongwon414 @hodal22
63,@s.cheawon0707 다행이다....안삼켰어ㅋㅋㅋ
64,@minpila.lee27
65,@kimjuice1024
66,@gdayun_love
67,@wooj_lee 여보....?
68,@min_stone_98 허허
69,@dong5un
70,@summer.h3art @hong_juding
71,@kannalovely @rh_mimi 🙊 @golddongz
72,@1g__02 이제 그만 먹자
73,@p_sjoo_
74,@collegian_closet
75,@hhyun.k 오마이가쉬
76,@ming_kiiiii 그렇대
77,@kangminji___ 세상에..
78,@geeeundonly 나 껌 맨날 삼켰자나....
79,@0b_l1viate
80,@woals_94
81,@mim_mimm_
82,@naring_x2 @sungja_123 몰랐네..🙀
83,@bom_taeng_ 껌도 접착제 플라스틱인 세상 🤔
84,@yourzln 나 껌 무조건 삼키는데
85,@encourage.lee 껌 안되겠당 ㅜ
86,@top777u
87,@youngjoo_927
88,@lollloll0087 껌...이제 그만!!!
89,@lee_soonmin 이거 알고잇엇음?
90,@________dorothy___ 껌 먹지 말자 ㅋㅋ
91,@seoyouns @yeonjurassicpark @jenesuispasmargot @eslet_bp__ 나만몰랐나
92,@03_dbsdk_11
93,@nari_328 @onyou.onyou2
94,@h2sj1534 헐
95,@qquuui_ 껌금지
96,@phloxi_ 옴마갓
97,@91kim_tae_ho 껌많이삼켰는데....
98,@wschoiii 홧...나 학창시절에 껌쟁이였는데
99,@sangwoo_kim__ 헐 껌
100,껌 많이 삼켰는데.......
101,와 많이 삼켰는데.
102,@hanmaum8950 껌 안녕..
103,@minsseoda 역시...
104,@y.ch1_96 오빵이 껌 금지❗️
105,@02_yun_0723 껌 먹지 마요
106,먹어도 무해한 껌베이스의 플라스틱이 미세 플라스틱형태로 유출되면 유해해 지는건가요? 그 부분에 대한 설명이 있으면 더 좋을 것 같네요 🤔
107,@zinius_ 껌 씹으면서 초콜렛 먹으면 껌 녹아서 없어지는데 이런 경우엔 어떻게 되는거죠🤔
108,@joung_ms_ 껌 고만 .....
109,@kt72872873 큰일낫네
110,내가 저래서 껌을 별로 않좋아햅 @taehee009 껌좀 줄이장~태태얌
111,나 오늘 껌 씹었는데 왓따
112,@wang_seong ... 플라스틱 삼켰네
113,@haewon_jooeun
114,어차피 턱관절에도 안 좋은듯 하니 안 씹어야겠네요 채소나 먹어야지 뇸뇸
115,@yehyun_03.6.5
116,@bae_hyeonho 허얼...
117,@iam.dokk
118,@seung.han
119,@_____.765 이제 껌을 삼키지 않겠습니다.
120,@jmkwon86
121,@joon140 먹지마라~~
122,@jeewonj 삼키지말거 휴지에싸버려라
123,@beom_._hahahahaha 왕년에 껌좀 삼켰었는딩........
124,@jisu8034
125,@psychov_v
126,@namdoo.kim 껌 우래기 먹으면안되겠엥
127,@jeoninhwan
128,@taeeun._.k
129,@sungsik_0817 껌 씹지마!!!!!!! 지구야 미안해 100번 실시
130,@camper_ho
131,@97_milli 이럴 줄 알았어 이래서 껌이 시뤄
132,@sommjun
133,@_jeongdasom
134,@p._.p_04
135,@master4come
136,@me______rong 지랄... 나 껌 실수로 삼킨 적 개 많은데@시발
137,@ihopeyoulikeit__
138,예전엔 초산비닐이라고 명시돼있었는데̄̈...
139,@ubin_1005 나 이제 껌 못 먹을클
140,@jeewonly
141,@sindon4542 헐
142,@gimjian58
143,@changwan_kim 완아...
144,@so.__.yk 껌 많이 머그지말댜
145,@1004_jihyun_ ㅗㅜㅑ😣
146,@zisilver 앞으로는 뱉자 꼬맹아
147,@jungmy10 ㄷㄷ알고있었니 난 모든 껌이 치클로 만들어지는줄 아라써
148,@lewi_sgw 껌 바이..
149,@ln._.sun 헐 플라스틱이래
150,@park._.swsn 호ㅓ걱
151,@94_jylove 삼키지말라구 띨빵이야
152,@wari_nailgram 아니 길바닥 왤케 더러워 츙격이야
153,"𝖧𝗈𝗐 𝗂 𝗐𝗁𝗂𝖼𝗁 𝗂 𝖼𝖺𝗆𝖾 𝖺𝖼𝗋𝗈𝗌𝗌 𝗍𝗁𝗂𝗌 𝗈𝗉𝗉𝗈𝗋𝗍𝗎𝗇𝗂𝗍𝗒 𝗅𝗈𝗇𝗀 𝖺𝗀𝗈, 𝗂𝗍 𝗐𝗈𝗎𝗅𝖽 𝗁𝖺𝗏𝖾 𝖻𝖾𝖾𝗇 𝗁𝗎𝗀𝗋 𝗇𝗈𝗐. 𝖳𝗁𝖺𝗇𝗄 𝗒𝗈𝗎
@official_leo_grace_fx1"
154,시각장애안내견은 알았어도 청각장애안내견은 이번에 스브스뉴스를 통해 처음 알았어요 저 작은 친구들이 크고 의미있는 일을 열심히 배우고 하고있네요 대견해라^^ 살면서 만나게 된다면 조용히 눈빛으로 응원할게요😍
155,똑또기들 항상 행복해라 😭😭😭💕💕💕
156,점프해서 관절에 무리가 가는 알림방법보다는 강아지 관절건강도 고려한 다른 알림법으로 교육했으면 좋겟어요 ㅎㅎ
157,"교육시킬때 아이들 관절도 신경 좀 써주세요!
사람위해 사는 아이들이라지만 아이들 건강도 신경 써 줘야죠..에휴.."
158,너무 기특하네요💕☺
159,다들 너무 똑똑하고 귀엽다😍😍
160,@hyojoonkim95 점프하면 무릎 안좋은데....ㅜ
161,@yoo_jj__ 졸귀져...😭😭😭
162,@huan_ying_ 아이구 착해 아이구
163,@dasistsoyeon
164,@__h0yye @9_____mo
165,@forever__forest 야 현지야ㅠ대박
166,@k.sunnny @yesz22 작고 귀여운 소듕한 아가들
167,@poem.hyeon 이쁘니들💜
168,@rongii_rong 도우미견이라는게 있구낭
169,@hee_0117__ 멈머 공부하자
170,@baejae_21 잼민아 카드뉴스 내용 찾았다
171,@yejln_ 똑똑하고 기특해 ㅠ 사랑둥이들
172,@redjun__ 잘 알아놔야지
173,@____choii 진짜 짱이쁘네 얘네
174,@hamjuchang
175,@eunsol.co.kr
176,@7.l2o
177,@ani_921231 위풍 댕댕
178,"@zzi_su 넘 착하고 똑똑하고 소듕해,,,"
179,@_luckymk
180,@eunji._.yy
181,@gyyeong_i 강쥐들은 사랑 그자체..
182,@sso_zz
183,@jaesungrhee 너무 작고 소중하고 귀엽고 혼자 다해 ㅜ
184,@bim.ddadda @eul_hyexn @daln1m_e 여기 나 봉사핶던곳이여라 다들 보거라
185,@humpty_suhang
186,@mc_p_
187,@louis_vi_kong 첨 알앗다 ㅇ
188,@seo____heeee @ujublls @aliheexx @blackmarble_sh
189,@hyeji_0407 ❤️❤️
190,@bodeulbonheur 여기 푸들이도 잇닼ㅋㅋㅋㅋㅋㅋ똑똑하당 아이들이
191,@bophite_ 훌륭한 댕댕이들👍
192,@fall._.18 갱지들 너무 착해
193,역시 개는 훌륭해요 🐶
194,세상엔 따스하고 훈훈한 이슈가 많아서 참 좋습니다!🎶🎶🎶❤️❤️❤️
195,🖤🙏🏻
196,너무 소중한 친구들이네요ㅠㅠㅠ
197,@yr.mi 꿀귀
198,바라만봐도 국밥같은친구들! 긋긋긋!🔥🔥
199,얘네들이야 말로 진짜 작고 소듕😍
200,@yailieu_ 귀여워ㅜㅜ
201,@dolmengg2 기특해 엉엉
202,@msss._91 기특해라🤭
203,새로운 정보 잘 보고 갑니다!!😍
204,@jihyo_rhee 이거바 차카니들이얌 😢💕💖
205,@ojooring 너어무 귀엽다~~
206,청각 도우미견은 처음 알았어요! 이 영상을 보지 못했다면 엥 그런 강아지도 있었어? 싶었을 텐데 이번 기회에 알게 되어 너무 다행입니다😁
207,@d.draagon 똑똑하구 귀여워
208,치료도우미견도 인터뷰하면 좋겠어요. 우리나라에선 생소하니까
209,식당같은 공공장소에서 도우미견 출입거절할경우 신고 어디에 해야하나요 ?̊̈
210,@jjjangwon 너무 귀여워ㅠㅠ
211,@limwoo_ 똑똑해요 ㅠㅠ!
212,@baemideum 내가 말한거
213,@su_dreamerr
214,@dongsu__son
215,@qkrw1dms 너무 귀엽고 똑똑박사들이야
216,@hyunena 귀엽고 장하다
217,@true_hoon 예쁘다
218,@forza_hyeok 두 번째 짬푸멍 좀 봐봐유
219,"우와👍 감사합니다. 지체장애인 도우미견, 치료도우미견도 궁금하네요 📣"
220,@juzza_ng 너모 귀여워ㅠㅠ
221,@xssujinx ㅠㅠ 예버라
222,@ko_seungouk
223,@leejiiiyeon 좋다..
224,@juyoung._.jo
225,@hyun_joonny
226,@___yeoniya 기여오 ㅠㅠㅠㅠㅠ 똑똑해 ㅠㅠㅠㅠ
227,@tree._.09.26 도우미견이래 떨망똘만 ㅠㅠㅠ❤️
228,@octoeyeglasses
229,@lwqbbjw
230,@soha_s2_
231,@hyeons_uu
232,@jenzen_116
233,@5jisong
234,@_gyemj
235,@jungsik0220 넘기특..
236,@winked_at_me
237,@pinggu_86
238,궁금한게 있습니다 화재시 도우미 견은 화염 연기와 유독가스에 사이렌 소리에 아수라장 계단에서 침착하고 신속하게 시각 장애인분들을 계단으로 대피 시킬수있는지요? 꼭 자세히 알려주세요
239,@bulgaemi8566 @bo._.nong
240,@holaestela 소리배우고있는 모습 왜이렇게 귀엽고 기특해
241,너무너무 장하다 우리 댕댕이들👍
242,@_ansu6 긔여워죽겟네 위풍댕댕
243,각종지자체에서 홍보를 안해주니 모를수밖에요....여기서도 시각장애안내견은 알아도 청각장애안내견은 모르는 사람이 거의 90프로 넘을겁니다 물론 저런 가운을 입어도 그 대우를 안해주는건 우리나라의 시민의식 문제긴하지만요
244,아프지말고 오랫동안 함께 해주길 소둥한 댕댕이들❤️
245,@jini._.jini_yjn 쫀귀뽀쨕
246,너무 대견하고 이쁜 강아지들아 정말 너흰 천사다 ㅜㅜ 저렇게 귀엽고 쪼그만한 아가가 알람소리듣고 우다다다다 달려와서 꾹꾹이로 깨워주면 일찍일어나서 출근은 개뿔 너네 놓고 어떻게 출근행 ㅜㅜ 넘 귀엽고 기특하고 만나면 진짜 우다다다하거싶다 후 고마워 강아지들
247,4
248,@yerimee00 착한댕댕이들
249,@na__ahe 너모 긔엽고ㅠ갬덩스러워
250,"$ 15000 𝗦𝘂𝗰𝗰𝗲𝘀𝘀𝗳𝘂𝗹𝗹𝘆 𝗪𝗶𝘁𝗵𝗱𝗿𝗮𝘄𝗻
𝘄𝗼𝗿𝗸 @official_leo_grace_fx1"
