,댓글
0,신고하고왔어요...
1,무슨소통을 하실려고
2,고영욱 sns하고 조두순 출소하고 손정우 구속영장 기각되고.....이게 2020년이라는게 믿기지가 않네요
3,소통은 오프라인으로 지인들이랑 만나서 해...
4,스토리 공유하겠습니다...어디서 스멀스멀 기어나올려고...🤔
5,조두순도 SNS 한다고 할수도 ㅋㅋㄱㅋㄱㅋㄲㅋ
6,고영욱인스타에 만19세미만 여자는 안뜨게해라..
7,소통 .... ㅁㅊㅅㄲ ㅡㅡ
8,고영욱이랑 조두순이랑 나라에서 강제 결혼시켜주라 제발
9,당신에게어울리는 건 재기뿐입니다..
10,한남들은 죄지어도 참 쉽다.. 90년대에 대마초 한 번 했다가 이제 다시는 볼 수 없어진 여성 배우 생각나네.. 동시대에 대마초로 잡혀들어갔던 남자 연예인들은 여전히 잘만 활동하는데...
11,살게 해준것도 감사히 여겨야 할 판에 욕심이 지나치네요 종특인듯
12,헬 2020 ;;;
13,정말 할 말을 잃었다........
14,같은 남자로써 진심 쪽팔린다!!길가다 내 눈에 띄지말아라!! 특히 야간에 눈에 보이는순간 요단강 건너게 해 줄께ㅅㅅㅅ
15,본인이 딸을 낳아서 당해봐야 방송복귀니 응원이니 그런말을 못하지 어머님 고생하신거 알겠는데 피해자 어머님은 어떻게 표현해야될까..
16,누가 무슨 얘길 듣고 싶어한다고 생각하시는지... 불특정다수에게 노출되는 공간에 너무 위험한 인물일 뿐인것 같은데 말이죠
17,세상과 소통씩이나? 주변사람들 가족 친구들 동료들까지만 소통해야 맞지 세상씩이나요?
18,?????????????????
19,기사 보자마자 너무 화가났어요 😳😳 아니 인스타로 또 소통하고 어떻게 또 미성년자 꼬드겨서 오프라인으로 만날라구 하는건가. 도대체 누구랑 소통하고싶어서 그러는건지 .. 스토리공유합니다 .. 성범죄자 인스타 누가팔로함...
20,"할많돈없,,, 범죄자가 하고 싶은 것도 다 하고 살려고,,,"
21,아직도 고영욱한테 팬이 있으면 그건 정신병 아닌가
22,제발 기어나오지마 다시 들어가 두번다시 나오지마 더러우니까
23,이건 아니지..곧 조두순도 사회와 소통하겠다고 하겠네.
24,@s_b__00 다이나믹 2020
25,누가 무슨 얘길 듣고 싶어한다고 생각하시는지... 불특정다수에게 노출되는 공간에 너무 위험한 인물일 뿐인것 같은데 말이죠
26,@jn_0578 아직도 팬이 있긴함???
27,@min__smsms 조심스레 뒤지면 안되나?
28,세상과 소통씩이나? 주변사람들 가족 친구들 동료들까지만 소통해야 맞지 세상씩이나요?
29,@younghyun__l 미친거아냐?
30,@verygood_813 가뜩이나 조두순 때문에 정신없는데 ㅡㅡ
31,?????????????????
32,기사 보자마자 너무 화가났어요 😳😳 아니 인스타로 또 소통하고 어떻게 또 미성년자 꼬드겨서 오프라인으로 만날라구 하는건가. 도대체 누구랑 소통하고싶어서 그러는건지 .. 스토리공유합니다 .. 성범죄자 인스타 누가팔로함...
33,@olaf_zzaang 개빡쵸 ㅡㅡ
34,"할많돈없,,, 범죄자가 하고 싶은 것도 다 하고 살려고,,,"
35,아직도 고영욱한테 팬이 있으면 그건 정신병 아닌가
36,제발 기어나오지마 다시 들어가 두번다시 나오지마 더러우니까
37,이건 아니지..곧 조두순도 사회와 소통하겠다고 하겠네.
38,인스타는 댓글 막아놨는데 트위터는 열려있어서 봤더니 ㄹㅇ 쟤 아직도 좋아하는 팬들은 막 사람이 실수할 수 있다 이러더라... 사람이 실수할 수 있어 근데 범죄는 저지르면 안 되지 작은 경범죄도 아니고
39,기사 보니까 이 인간 성범죄자 신상정보 공개가 올해로 끝나더라고요 그래서 지금 이렇게 나오려는 것 같은데 어처구니가 없음🤷🏻‍♀️
40,"사회가 성범죄자들에게 솜방망이 처벌을 하니 범죄가 끊임없이 일어나고 피해자는 늘어만 가는 겁니다. 사형도 모자를 판에 연예인이라는 신분으로 대중에게 낮짝을 드리밀고 부끄러움도 모르고 인기와 돈벌이를 하려 활동하는 모습...정말 역겹습니다. 피해자들은 숨어살고 가해자들은 티비에 나와 설친다면 그 낮짝을 계속 봐야하는 피해자들은 세번, 네번 죽음보다 더한 고통속에 살아야 합니다."
41,이근이랑 이수빨아주는 남자들때문에 자기도 괜찮을줄 알았나봐요
42,;;?
43,스토리 공유하겠습니다
44,스토리로 공유합니다
45,@siptteok ㅋ 벌레가 기어나오네
46,하..피해자들은 이름만 들어도 힘들어할텐데 저 사람은 뭐가 당당해서네요 정말.. 공개적인 sns가 세상의 소통 창구라는건 누가 정해놓은 정의인지 ㅠ 설마 sns라고 개인적인 자신만의 공간이니 내가 이것도 못하냐느니의 이런 마인드인건지..
47,미친거아닌가 진짜;
48,누구랑 무슨 소통을 굳이 sns로 하려는걸까요?
49,가서 욕하고 싶었는데 참느라 힘들었네요
50,스토리에 공유합니다
51,미친거 아닌가요;
52,@hyundong22
53,눈치 교도소에 두고나왔? ㅡㅡ
54,저도 계정 신고하고옴 양심이 있어야지 하긴 ㅂㅈㅈ들은 양심 없쥬?
55,@wldbsl__ ㄹㅇ
56,미친 으악
57,와 진짜 뻔뻔하다... 진짜 죄책감 있는 사람들은 저렇게 절대 못함 주위 사람들이 나를 어떻게 볼 지 상상하면 너무 괴롭고 쪽팔리거든... 저런 추악한 범죄를 저지르고도 나올 수 있다는 건 죄책감이라곤 1도 없다는 거...
58,얘는 답도 없다
59,아 진짜 너무 열받는다 하 진짜 머리에 뇌가 안들었나 아!!!!!!!!!
60,우리학교에도 성범죄 저지른 남자애들 군대 다녀와서 다시 복학함ㅋ 피해자들만 나가리됨요ㅋ 우리나라가 아무리 치안이 좋다한들 한번 피해자가 되면 벗어날 수 없는 나라라.. 애키워보거나 여자로살아보면 알듯... 아니면 전재산 걸린 사기 한번 당해보던가...
61,미친새끼가...
62,진짜 벌레들 스멀스멀 기어나오는거 엿같다
63,고영욱 탓만 할거 아니라고
64,한남중에 페미인척 여러 여성들에게 접근해 성추행하고 더러운짓 하고 다니는 유투버가 있습니다 주의해주세요
65,조두순보다 나을거없는놈이 어딜
66,끼리끼리 노는거야 고영욱 탓만ㅅ살
67,지랄들 한다. 다들~~ 털어서 먼지 안나는 인간 어디있어??? 고영욱에 대해 악플 다는 너희들은 순결하고 깨끗한 인간들이냐??? 아동 성범죄?
68,zz
69,너는 아에 티비 방송 나올생각말아 죽는날까지 너는 연애인이기전에 인간 쓰레기야. 너는 신정환보다 더한 녀석이야 절대 나오지마 너는 어딜가도 환영 받지 못하니까 알겠니 너는 모든 크리스찬인들은 욕을 먹였으니까
70,그냥 조용히 니네 집 개들이나 돌봐라..어머니는 인스타 안하시나??
71,인기만은 조두순🔥
72,진짜 뻔뻔하구나 ㅉㅉㅉ
73,반가워요...
74,지랄하네
75,저런자식이랑 누가소통하냐
76,옹호해주는사람들뭐지...;;
77,근데 팬이 있나요 안티팬 말하는건강...
78,소통...?̊̈?̊̈ 당신이랑?̊̈
79,팬이 있나?
80,전자발찌찬 ... 옛연예인이라니...
81,그래 차라리 자살하지 말고 뭐라도 하고 살아요
82,좋아요가 500개가 넘는다는 게 더 소오름
83,인스타 홍보 해주냐 ; 이딴걸 왜 올림 피해자들 생각 안함?
84,오메...
85,지랄
86,ㅈ두순 감옥에서 나온다고 너도 같이 기어나오누
87,아오 시팔~~~~~~~~~~
88,뭔 개소리야
89,소똥이다 부끄러운줄 알아야지
90,욕 실컷 해줄게
91,ㅋㅋ 얘도 참
92,벌 다 받았냐? 이젠 그러지 말고 잘 살아라. 다신 생각도 하지 말고.
93,다른것도아니고 미성년자 성희롱에 성폭행으로 징역까지살았으면 .... 조용히살아야하는거아닌가;;; 뭐 토크쇼나와서 전자발찌후기썰이라도 풀려고그러나
94,사형 시켜
95,이거 개똘아이네ㅡㅡ
96,? 팬이 있을 거라는 자만심은 어디서 나왔어?
97,소똥??
98,@kimingyuooo 조두순 나오니까 고영욱이랑 둘이 소통하면 되겠네 으...🤬
99,@jaeyoon2969 도랐나본데
100,@sungh___ee @h_s00_ @eung__g_ 그냥 조용히 찌그러져 살지 뭔 소통을 하겠다고 다대냐ㅋㅋㅋㅋㅋㅋㅋ갱장히 불편하넹😊
101,@jeon_sangbae 아오 지랄 드런놈
102,@y_nnabe @_animom @woos._.2
103,@eulgo 도라희~
104,@jun_hyuck_ 도란나
105,@s._.y01
106,박원순도 자살 안 했으면 나중에 전자발찌 차고 또 슬슬 기어나왔겠지 ㅋㅋㅋ
107,이기 돌앗나?
108,으악
109,교주와 신자도 아니고;;;대단한 믿음이다 진짜
110,@immdrk 아옼ㅋㅋㅋㅋㅋㅋㅋ
111,@ttubuging 제목이 존나 웃김 ㅋㅋ
112,@larcheese 계정 앎?
113,@_k.__.22 우와 ㅋㅋㅋㅋㅋㅋㅋㅋ
114,@lz._.o9 와..... ㄹㅇ
115,@ddong_chaew ❓
116,@b_o114 ???;;;
117,@choinansae 우와
118,팬이있엇어..?
119,팬이 존재해?
120,댓글 차단해놓고 소통은 무슨 소통 ㅋㅋㅋㅋ 정신 못차리고 다시 나대기 시작하는거지 머
121,@seungadaily
122,@kyuung_e 지랄한다
123,돌았.....0
124,@yu__jin.j
125,@lee_hyojin719 무슨소통?ㅋㅋㅋㅋㅋㅋㅋㅋ
126,촤하하하 정신력갑....
127,ㅋㅋㅋㅋㅋㅋㅋ웃고갑니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ에끼
128,@yum__star
129,@dogh_0213 이예준 빙의해서 미친소리 하는데 어떻게 생각함?
130,@min_02._ 어떡하냐 진짜 미친듯 ;;
131,도라인교?
132,ㅋㅋㅋㅋㅋㅋㅋㅋ😂
133,@ye__in.68 미쳤나봐 ...
134,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ도랏맨ㅋㅋㅋ
135,골때리네ㅋㅋㅋ
136,좉갖애 아주
137,좃까
138,성폭력전과 있으면 준비 다된거입니다 더듬어만진당 입당합시다 비슷한사람들 많습니다
139,고추 짤라벌여 ~~~~
140,@malrarg22 니가말한그거맞지 와 양심도없지 9년이 길면 그 어린애들이 평생 가져갈 상처는 눈에 안보이나봐
141,하다 하다 이놈까지 나오노 ㅋㅋㅋ
142,지랄도 진짜 병
143,성폭력전과 = 더듬어 만진당 입당 조건 충족(비슷한놈들 모여있음) 고영욱씨 정치합시다 ㅋㅋㅋㅋㅋㅋ
144,헉
145,팬이 있구나...
146,도랏? ㅎ ㅓ ㄹ. .
147,인스타 만든 사람 무슨 죄야
148,팬이 있다고??
149,@n.d.d.y ㅋㅋㅋㅋ
150,꼼짝 말고 개나 키우고 살아라
151,팬이있어?ㅋ
152,고씨를 국회로 보내자
153,@k_kjh
154,@say401kr 댓글 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
155,@racy_jeong_ 아니 팬이잇음 ?
156,와~~~헐~~~~와~~~~
157,@silversunhalen 예..? 뭘..한다구...?연옌이랑 일반 다른사람들은 전부 비공개 돌리겠는걸
158,팬이 있기는 해? 전자발찌 동호회가 아니라?
159,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
160,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
161,@_j1wxn_ 미친새끼네 이거;;
162,또라이다 ㅎㅎㅎㅎ
163,아줌마 여기 지랄병신 한접시 추가요!!
164,놀래라 이근인줄 알았잖어
165,전자발찌 인증샷 올리면 ㄹㅈㄷ
166,@leedony_ 미친넘 언제정신차리겠노
167,@soom_zoom ????미친놈아녀??
168,이 색히 정신이 나갔구만
169,성범죄자
170,발기하면 폭파되는 그런 좆찌를 만들어야지
171,범죄자가살기좋은나라네
172,변태
173,미친놈 ㅋㅋ
174,주빵소통 하자 형👍
175,저딴 쓰레기는 고추를 잘라야해
176,@kimbinnn 아오 그놈의 소통 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
177,소통 시도하다가 고통받을 생각인가ㅋㅋ
178,으~~~~싫어
179,아이들이 모르고 연예인이라고 메세지하다가 또 걸려들까 겁나요. 소통 마시고 제발 혼자 잘 사셨으면..
180,@gyunagram
181,@uxxsr ㅋㅋㅋ그저웃지요~
182,@k_yuzin_ 전자발찌루
183,@ryu_h_s_ 혼내줘
184,@yk_.0407 안티팬과 소통하고싶은건가....
