,댓글
0,🙏
1,가짜사나이2 인트로 문구 이죠??? 군인들의 처우가 개선됬으면 합니다.
2,👏
3,"대한민국 모두 군인에게 감사합니다
김계란씨도 항상 화이팅 하십쇼👏"
4,해군 해병 은 한가족 파이팅
5,🙏
6,국군의 날에 태어난 전 군인이 운명인가봅니다
7,Surl🔥
8,🇰🇷🙇‍♂️🙇‍♀️🔥❤️
9,🙃
10,감사드립니다 🙏
11,계란형 나 입대날이야
12,"내가,, 김계란 때문에 국군의 날도 챙긴다 정말🤦🏻‍♀️"
13,ㅇㅅㅇ 7🔥🔥
14,감사합니다
15,근데 왜 국군도수체조가 떠오를까요.ㅋㅋ
16,🔥🔥
17,🙏🏻 🤍
18,❤️
19,@s_eveipss @genius_kim_98
20,@chmlee__ 수고하십니다....
21,@itsmebaejae_00 아니 니 생일보다 중요한 날이다
22,@leeedl_ @miracleshappenallthetime__ 화이팅 ㅎㅎㅋ
23,@star__bugs 감사합니다🙇‍♀️🙇‍♀️
24,@seong_won_1024 갓빡 충성
25,@park_bell__ 💛
26,@ststststtsts 남상병 멋지십니다.
27,"내가,, 김계란 때문에 국군의 날도 챙긴다 정말🤦🏻‍♀️"
28,ㅇㅅㅇ 7🔥🔥
29,감사합니다
30,근데 왜 국군도수체조가 떠오를까요.ㅋㅋ
31,🔥🔥
32,🙏🏻 🤍
33,❤️
34,@sys0801 화랑
35,@hwandong_ss 먼나라에서 고생한다고 우리형이 이런것도 올려준다 동환아
36,@zero._mo 미리 감사합니다.
37,형은 군인을아껴줘서 너무조아
38,정말 많이 감사하고 존경합니다.
39,가짜사나이와 교관님들 덕분에 군인의 대한 인식이 조금씩 나아지는것 같아 기분이 좋습니다.
40,충성충성
41,충성!
42,🙏💜
43,👏
44,❤️❤️❤️❤️
45,❤️
46,^^7 모든 군인 여러분들 감사합니다
47,필승!
48,@k_hun0 ㄱㅅㄱㅅ
49,필승
50,풍성 ! 아아아니 충성 ! 🙏
51,필승 군인들 힘내길
52,필승 감사합니다
53,❤️
54,오늘 저녁8시 기대하겠습니다
55,정말 감사드립니다! 국군 장병 여러분 존경하고 사랑합니다 ! ❤️❤️❤️
56,멋잇어요 ❤️❤️❤️❤️❤️❤️
57,국군의날 가짜사나이 업로드 매우 바람직합니다.
58,👏
59,필승!
60,@jyo_in_dex 필승필승
61,감사합니다.
62,🇰🇷
63,🔥
64,@dlendqp 감사감사
65,국군의 날을 기다리게 만든 피갤....
66,필승 감사합니다 오늘도 조국의 해양수호에 작은 기여를 하고있는 해군입니다!
67,👏
68,@20jun_0207 감사합니다🤪
69,🔥
70,항상 감사합니다👏
71,👏👏👏
72,🙏
73,감사합니다
74,감사드립니다 😮😮
75,👏👏👏
76,위국헌신 군인본분.
77,👍🏼
78,존경합니다 감사합니다 🙏
79,👏
80,💗💗💗
81,@iluvprotein 감사합니다 ㅋ
82,👍🏻
83,👍
84,항상 감사합니다🙏🏻
85,❤️👍
86,👏👏
87,필승
88,🔥🔥
89,👍🏻👏🏻
90,👏
91,^^7
92,👏👏👏👏
93,🙏🏻
94,계란맨님 덕분에 힘내서 수호하겠습니다
95,🙏
96,@jjiiyoon ❤️
97,❤️
98,🔥🔥🔥
99,🙏
100,가짜사나이를 통해 군인의 처우가 달라졌으면 합니다
101,💗
102,👏
103,👏👏👏
104,👏
105,나가질 몬해서 쇠질중...😢
106,빡빡이 형 즐추~👏
107,@justw1oninsta 어서 존경을 보여줘봐
108,감사드립니다.
109,👏👏👏리스펙!!
110,오늘도 출근했습니다~ 국군의 날이고 추석인데... ㅎ 나라가 부름 가야죠~^^;
111,@yun_doll2 ㄹㅇ
112,🦲👍
113,@seongju123 고마웡 힘내쟈아
114,감사합니다
115,내 생일이에요
116,저는 10월 1일 국군의 날에 태어났습니다. 매해 이 날만 되면 말뚝을 박았어야 했나 고민이 됩니다 ㅎㅎ 이 자리를 빌어 국군장병들께 감사의 말씀 전합니다 👏👏👏
117,@praha__jj 근-
118,🙏🖤
119,8시 뵙겠습니다
120,충성!
121,🔥
122,@junggwan0 고맙지
123,정말.. 너무 감사한 분들ㅠㅠ 국군장병분들 계셔서 진짜 든든한 것 같아요! 다들 건강하시고 추석인데 명절도 코로나 사건 없이 잘 보내시면 좋겠어요!😍😍😍
124,@jo_______t
125,👏👏👏
126,👍🏻
127,🇰🇷
128,형 내 생일이야 내생일도 축하해줭.....
129,@westglory__ 단결👏
130,감사합니다🙏🏻🙏🏻🙏🏻❤️
131,@hjhewaspretty 🤘
132,🙏🏻
133,@q8q8_hseok ㄱㅅ
134,감사드립니다
135,계란형 나 오늘 생일이야
136,선! 한! 영! 향! 력! 부를땐 국가의아들 다치면 남의아들이란 말이 더이상 안나오게되었음 좋겠습니다
137,👏
138,@thisis_d.hyun ❤️
139,필승
140,🔥
141,덕분에 두다리뻣고 감사히 편안한잠자리에 듭니다 우리모두 군인이였습니다 잊지말고 잊혀지지않았으면합니다
142,@greenchill_
143,@kimnulvec ^^7
144,🙏🏼
145,멋지십니다 감사합니다 형님^~^
146,@ssong_930 @0._.min8 고생이 많습니다 두 분 다
147,쌤 ~좋은날 태어나셨네요~생신 축하드려요~^^
148,🙏
149,😍😍✊
150,계란이 형님 덕에 군대에서 웨이트하는데 많은 도움을 받고 있습니다 항상 감사합니다!!👍👍
151,정말 고맙습니다.
152,🙏
153,👏
154,제 생일입니다😢
155,감사한 마음으로 국군 도수체조를 실시합시다
156,@98_yoonjang
157,필승!
158,@h._.ssssssss 돌격
159,@rakun_0215 @hyoseob.y 장하다
160,👏
161,@seungbeomje 최고다
162,항상 감사합니다 힘내세요
163,👏👏👏😍
164,👍
165,대한민국 모든 군인들 수고하십니다! 우리오빠 빼고
166,이런것이.본디 선한 영향력 인 거갰지요..
167,^__^ 7
168,형님 4시간 남았습니다
169,🎺
170,@hyeokii._.iiii 감사합니다 군인아저씨 북진
171,감사한 마음을 느끼며 국군도수체조를 하겠습니다.
172,👏
173,@minddongkk 감사합니다❤️💓❤️💓
174,충성!
175,🙏🙏
176,❤️
177,저는 형이 더 감사해요 민간인(진)
178,🙏
179,@thinkingphile 감사합니다..
180,필승💪
181,@how_to_won 고생한다
182,형 진짜 멋짐
183,특수부대도 군인 인가요 아니면 따로 적용되나요
184,🙏🙏
185,따랑해 계란
186,대한민국 화이팅~~!!
187,충성!
188,대한민국 만세~~~~~~~~~
189,@d0ngure 감사하다고 해봐
190,문재인정부의 퇴진을 기원합니다♡ 피지컬갤러리 파이팅!!
191,맹호!
192,아 국군의날에 원래 우리 쉬는데 아 추석이 껴버리네 아 휴일 하루 손해봤다..
193,감사합니다 모든 군인 오빠 언니들❤️
194,🙏
195,멋집니다 👍
196,국가를 위해 헌신하는 군인 여러분의 노고에 감사함을 전하고 싶고 김계란님 에게도 항상 좋고 재밌는 영상을 만들어 주셔서 감사하다고 전하고 싶습니다. 항상 화이팅 하시길 빕니다!!🔥🔥
197,👏
198,계란님 국군의날 기념으로 군생활 이야기 컨텐츠로 듣고싶습니다 보안상 썰을 풀지 못하면 어쩔수없지만 그냥 군생활과 전역후 계란짐까지 그런 소소한 이야기
199,국군장병 여러분 감사합니다👍👍
200,진군!
201,수고하십니다
202,계란형...15분ㅇ뒤에 올라오내여... 부대안에서 기다리고있습니다
203,👍👍👍👍👍👍
204,@itsjaewonstory
205,8신데 왜 안뜨노 ㅅㅂㄹㅇ
206,@https.junnn 감사합니다 형
207,국군의날 국가를위해 지금도 애쓰시는분들 감사합니다
