,댓글
0,아이폰 지랄 염병이다 👀👀
1,그래서 새걸로..아니면 리퍼러 바꿔준다던데요...?!?
2,@wk_own 개가타ㅋㅋㅋ
3,@donguri_ @c.___.hoo 진짜야...?
4,@hun._.xx
5,@yejoney 갈수록....
6,@gin1834 떨구지마러라😱
7,@hayoung_1020 @___kim_hj
8,@08chl_dmstj 너무하네 이건 좀 아니다
9,"@_ming._.di ㅁㅊ조심해라,,,"
10,@jeeeun0317 걍 13기다리기로^^!
11,@ye_152 넌 안되겟다
12,@hh.j926 오유
13,"@e.eunnn0 사라는겨 말라는겨,,,"
14,"@tting_seon 11살까,,,"
15,@yu_dong97 니 진짜 소중히 다뤄야겠네
16,@94psy
17,@kmyejini 헉 조심해
18,@min_jeong101 사지마 민정
19,@daeyeonooo 조심해야해
20,@jjjo.s__e
21,@i.am.j.k 야...
22,@aftershoxck
23,@m.i___n
24,"@hyeonseon_714 헐 나즁에 사야게따,,"
25,@igosibultaeng 안바꾸겠습니다요.....!
26,@gyeongjun0910 오잉
27,@_serendipity__06
28,@ginger_____j
29,@kbr0521 삼성폰해야겟네.....
30,@riel_s2_gael ....조심햐...
31,@ggulbokgomo
32,@yomiee__ 뭔소리야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 새폰인데 부품없대..
33,@dang__o9_ 조심하자....
34,@j_siki 그렇대🤭 12말고 다음껄 기다리는걸로!
35,@drowsysye 쟈갸 두손으로꼭쥐고다녀
36,@eueeenna 아? 부품이 없어서 안해준다거? 갈수록 미쳐가네
37,@imxoyeon_
38,@s_heon01 12ㅈ까 11쓴다
39,@az_liimjiin 에...?
40,@do___gy ???
41,@sung_ha92 ???
42,@kf__venom.o9 노답 걍 바꾸지마
43,@jh00728 몬데ㅠ 이거몬데ㅠ
44,@k.y___j
45,@mellifluouss_you @gusujin1004 13을 존버하는게 어떠하니
46,"@gang0401 이게뭐쥬,..."
47,@mbc__j_minnnn__ 봐바!!
48,@gijeong563 내가 바꾸자고 계속해서 바꿨으면 어쩔뻔 해써ㅜㅜ
49,"@yeonn.ju 됴딤해,,,"
50,@yu_dy_62 자꾸 실망시키노
51,액정이 깨지면 새로사래
