,댓글
0,Zzz
1,👏
2,@_liulangshiren
3,@fah.thika 😍
4,시간이 흐르면 흐를수록 고난이 계속되는 2020년입니다. #아무것도안했는데 #벌써연말이라니
5,역시 과테료는 100만원정도 물어야 합니다. 우리 아파트 804호 사는 뚱땡이 아저씨 마스크 쓰고 나왔네요.그 전에 안끼고 다녀었는데...
6,@hyungjunyang 과태료 문댜 잘하고 댕겨
7,@shlim1234
8,코간지러우면그럼어뜨케...겉으로도못만지게하네...@livingboyz
9,ㅋㅋㅋ 음주운전자도 할말없음
10,ㅋㅋㅋ.. 둘다 쳐넣어 그럼되겟네
11,그 다리로 일을하쇼 ㄹㅋㅋ
12,"사기말고, 스턴트맨으로 전업하시는건 어떠신지.."
13,둘 다 범죄
14,🤡😂💔شكلي وانا ما فهمت بس اشاهد الفيد
15,둘다할말 없네 음주운전자에 연기자ㅋㅋ
16,와.. 화나면서 너무 소름끼쳐.. 팔에 문신있는거 같은데.. 딱 느낌 나온다.. 저건 아니지 요즘 다 힘든데 누군 쉽게 살라 하네
17,얼굴 좀 공개해라. 저런게 무슨 인권이 있냐?? 얼굴을 봐야 안 당하지
18,에휴 @park.0839
19,@hyejeong03012 씹새끼 잘 보소
20,마데인 차이나
21,저기서 폭행이나 이런거 일어나면 어떡하쥬...ㅠ
22,K-드론 ㅋㅋㅋ 이건 K-댓글이다
23,저러다 실수로 고층 창문 박으면 어쪄려고
24,지금 택시 업계들 가만있지 않을듯..
25,하늘을 날아가는건 언젠간 떨어진다. 영상드론 날려본결과. 아주 불안하죠ㅠ
26,공중에서 사고나면 지상에서도...끔찍하지요
27,사람 많이죽겠네
28,교통체증 때문에 힝상 상상 하던일이었어요 잘 된것 같은데요 뭐니뭐니 해도 추락하는 일이없어야 할텐데... 미리 걱정됩니다
29,택시가 남의집 창문이나 빌디메 부디치는 사고 뉴스도 나오겠네
30,여럿 뒤져나가겠군
31,@o_s1114 5년 뒤 택시 부르려면 하늘 보고 손흔들겠당 ㅋㅋㅋㅋ 여기요~ 제가 불렀어요오
32,@blairhaejeong_01 ❤️
33,@eun_seok_j 자기 나 개발접고 택시기사 할래여
34,@chochamp555 저런시대가 오네
35,@hh.j926
36,@min_hoonyul0228 이것은 과연
37,@he2jeong
38,@heon_oo0 상허니~
39,@_seok.j_ 나의 드림카
40,@six_weeeek 한대 날라다니면 모를까 수십 수백대가 날라다니면 사고도 사고지만 하늘 보는데 엄청 거슬릴듯
41,@haena00
42,@nanai__i
43,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎
44,👎👎👎😡
45,@nohsm0 이고바🙄🙄
46,남이하면비리
47,내못해서비리
48,"공용 체육시설을 배드민턴 동호회가 독점해서 회원이 아니면 사용할 수가 없음
-> 주민들이 구청에 민원 제기-> 구청은 구체적 계획이 세워질 때까지 폐쇄하기로 결정함 다만 동호회는 사용가능함 -> ??? 결국 현재상황이랑 똑같잖아?"
49,공무원들을 조져야지 클럽 회장은 회원들 매달 돈받을건데. 저게진짜 봉이김선달이네.
50,참 뻔뻔하기 그지 없네 대단하다
51,구로구청공무원이랑 동호회랑 짜고 치는고스톱이네~~
52,공무원 입장에선 시민이 이용하는 것 보다 관리가 편해서 알면서 방치하는 거 아닌가요? 세금 축내지 말고 공무원개혁 가즈아
