,댓글
0,😱😱😢
1,@suj2n_y ???
2,@han_gr63
3,나는독특하다에한표 뭐 어찌됐든 서해 새우라는상징한건데 나쁘지않네 볼거리는좋은데 뭘
4,@rubok225 짱귀엽다
5,저기도 바기지땜에 손님 떨어진데 아닌가? 저런거 하지말고 인식부터 바꿔야지 돈지랄이네
6,세금으로 뭐하는지
7,세금낭비지
8,𝗜 𝘄𝗮𝘀 𝗱𝗼𝘄𝗻 𝗮𝗻𝗱 𝘂𝗻𝗱𝗲𝗿 𝗮𝘁 𝗮 𝗽𝗼𝗶𝗻𝘁 𝘂𝗻𝘁𝗶𝗹 𝗶 𝘄𝗮𝘀 𝗶𝗻𝘁𝗿𝗼𝗱𝘂𝗰𝗲 𝘁𝗼 𝗵𝗲𝗿 ($550-$7000) 𝗮𝗻𝗱 𝗺𝘆 𝗹𝗶𝗳𝗲 𝘁𝗼𝗼𝗸 𝗮 𝗯𝗲𝘁𝘁𝗲𝗿 𝘁𝘂𝗿𝗻 𝗶 𝗵𝗶𝗴𝗵𝗹𝘆 𝗿𝗲𝗰𝗼𝗺𝗺𝗲𝗻𝗱 𝘆𝗼𝘆 𝘁𝗼 @official_leo_grace_fx1
9,뭐 이거 세상이 삭막해져 가냐..
10,"아…저는 스스로가 그런데, 그 단어로 자학도 안되는군요."
11,"뭐가 삭막해. 다른 사람들 있는 곳에서 직원 몸을 손으로 찌르면서 살쪘다고 하는건데, 누가봐도 모욕 아님?"
12,비겁하네 ㅋㅋㅋㅋㅋㅋㅋㅋ 지한테 했댄다 ㅋㅋ
13,삭막하다는 사람은 대체 생각이 왜 그따구인거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,잘했어 !! 막말하는인간은 처벌받아야지 예의가 있어야지
15,"하늘나는 소방차, 구급차도 나오면 좋겠습니다."
16,@han_gr63 한대구해줘
17,원격 끊기거나 하면 우짜냐?
18,👍
19,@rubok225
20,옛날에 우리 어르신들이 벼?에 랑진흙 뭉처서 쓰는거랑 같은거 아닌가
21,기존 벽돌보다 화재시 불에 강한가요?
