,댓글
0,건강하세요💕💕
1,대통령님 힘내세요💙💙💙
2,우리나라의 끝없는 발전을 기원합니다.
3,힘내세요 대통령님~🙏🏻🙏🏻🙏🏻
4,늘 건강하세여대통령님💕💕💕
5,"늘 건강하시길 바랍니다,,"
6,대통령님 항상 응원합니다💙💙💙
7,💯💯💯💯💯
8,우리 대통령님 나의 대통령님🌙 문재인대통령님 고맙습니다 🙏존경합니다👍 부디 건강 잘 챙겨주세요~
9,최고..
10,문프 💙💙💙 늘 지지하고 응원합니다
11,💙💙💙
12,💙
13,💙💙💙💙💙
14,매우 멋지다💜
15,늘 응원합니다. 건강 잘 챙기셔요. 💙
16,🙏💙
17,💙💙💙💙💙💙💙💙💙💙
18,역시💙
19,늘 응원합니다! 🙏🏻
20,👏👏늘 응원합니다. 건강이 최고에요.❤️❤️❤️
21,존경합니다~~❤️❤️❤️👍👍👍
22,💙
23,우리의 대통령이 되어주셔서 감사합니다💙
24,대통령님 늘 존경합니다 💙💙💙💙💙💙💙💙💙💙💙충성충성💙💙💙💙💙💙💙💙💙
25,대한민국 화이팅!!!! 오늘도 국뽕이 취합니다.
26,항상 응원합니다💙💙💙
27,대통령님 사랑합니다💙💙💙💙💙
28,💜
29,대통령님 감사합니다💙💙
30,💙💙💙💙💙💙💙✨💫
31,우리 대통령님 언제나 감사합니다💙💙 무엇보다 건강 꼭 챙겨주세요
32,항상 응원합니다. 고맙습니다. 건강하세요💙💙💙💙💙💙
33,문프💙
34,사랑합니다 대통령님💙💙💙💙💙
35,대통령님~건강도 챙기시고 항상 응원하는 국민들이 있으니 힘내세요❤️👍👍👏👏👏❤️
36,자랑스런 우리대통령님 사랑하고 존경합니다💙💙💙💙💙💙💙
37,응원 합니다❤️👏👏🙌🔥👏❤️
38,힘든시기에 늘 항상 감사합니다~ 건강 조심하시고 늘 응원할께요!!! 🙏🙏
39,대통령님! 항상 웃으시면 좋겠어요❤️❤️❤️
40,문재인대통령님💙 존경하고무한지지합니다 건강하세요 💙💙💙
41,💙💙💙💙💙💙💙
42,대단해요👍💙💙💙 대통령님 건강하세요💙💙💙
43,항상 건강 조심하세요!! 무한지지합니다
44,💙
45,👏👏👏👏👏😘이문덕👍👍👍👍
46,대통령님 늘 지지합니다💙
47,웃으시니 세상이 밝ㆍ맑아지는 듯 합니다 건강하시길 바랍니다💙
48,👍
49,건강하셧으면 좋겟어요. 항상 지지하고 감사합니다!!
50,응원합니다!! 건강하세요!!
51,건강하셧으면 좋겟어요. 항상 지지하고 감사합니다!!
52,❤️
53,대통령님 건강하세요💙💙💙💙
54,대통령님 존경하고 사랑합니다💙 언제나 응원해요💙
55,💙💙💙💙💙💙💙
56,항상 믿겠습니다!
57,👍
58,감사합니다~ 힘내세요👍👍👍
