,댓글
0,"악플때문에 힘들실텐데...
성광씨도 힘내세요....
친분하나 없는 보통사람들도 이렇게 슬픈데....... 지선씨 하늘에서 편히 쉬세요.."
1,이글을 읽으니 눈물이 나네요... 다른 남자 연예인들이 우스갯 소리로 박지선님 놀리고 해도 성광님은 '지선이 괜찮은 여자다~좋은여자다' 라는 식으로 이야기를 했던게 생각나는데 정말 성광님 인성도 좋으시구나 느꼈거든요... 얼마나 많은 동료들이 박지선님을 좋아했는지가 느껴지고 부모님께도 사랑듬뿍받고 당당하고 웃음만 주시던분이 헤아리지못할 고통속에 있었다는게 너무속상하네요 ㅠ 남겨진 아버님이 걱정되고 하늘이 원망스러운 일이네요 ㅠㅠ 그곳에선 아프지않고 평안하게 계실거에요...
2,"박성광님...제가 감히 말씀드리자면,지선님 가신길에 혹여라도,죄책감을 느끼신다면,그러지않으셨으면 해요.지선님 착한 품성으로면,꼭!! 성광님이 행복해지길 바랄겁니다.여기저기 무슨말들이 들려도 견디시고,지금 함께하고있분이 상처받지않게 맘써주세요.지선님의 명복을 함께 빌어봅"
3,"오빠 지선언니는 오빠덕분에 많이 행복했을거에요,그러니 조금만 힘들어하시고 얼른 돌아와주세요"
4,오빠덕에 지선언니는 행복했을거에요 오빠도 힘내세요
5,"기도할께...성광아.
너도.. 맘 잘추스리길 바래."
6,아. 비통하네요~~나중에 만나서 또 개그하자는 말이...모든걸 함축시켜주는거 같아요.하늘에서 아프지마시고 편안하시길
7,많이...마음이 아픕니다..저는 그저 방송국가서 방청으로 본게전부인데도..잊혀지지않고 그냥 한없이 해맑고 밝게 웃음주는 재밌으셨던 지선님이 계속 머릿속에서 생각이나요..개콘을 즐겨보던사람이라면 누구나 잊지못할거구요..검색어보고난후로 믿기지도않고 마음이 이상하고 참..눈물이샘솟고 그래요...성광오빠가 얼마나 지금 마음이아프실지..정말 무슨말은 차마 안나오고..하늘에서 부디.. 아프지않는고통없는곳에서 좋게 원하시는모습으로 계시길 바랄뿐이에요...
8,"공부하다가 보고 울었습니다..
정말 많이 웃고 행복했던 날들이..이제는 누군가에게 큰 아픔과 슬픔이네요..지선님 날씨가 많이 추워요..그곳에선 아프지 마시고 매일 좋은 나날이였으면 좋겠습니다..삼가 고인의 명복을 빕니다."
9,저도 개콘 팬인데 너무 가슴이 너무 아파요😭😭😭😭😭삼가 고인의 명복을 빕니다 ㅠㅠ 성광씨 힘내세요
