,댓글
0,과제면 봐줄듯
1,혹시 글커?
2,과제아냐ㅠ 뭔 프로그램 신청
3,과제면 봐줄듯
4,혹시 글커?
5,과제아냐ㅠ 뭔 프로그램 신청
6,ㄱㅊ
7,원래 ppt엔 글자 많이 안 넣는 게 정석
8,오 이상하지 않지 !.??
9,안이상함 ㄱㅊㄱㅊ 어차피 글 길게 많이 넣어도 사람들이 안읽음
10,아 그러네 ㅋㅋㅋㅋㅋㅋ ㅇㄴ 비대면 발표라 다 그냥 켜놓고 놀겠디 ....
11,장비렌탈+ 리프트권 둘이서 10만원생각하명되고 숙소 미리예약하면 20내에서 해결가응
12,지금 거리두고 앉지 않나??
13,ㄱ섹스?
14,나도 해보고싶당 ㅎㅎ 노천극장에선 해밧는데 히히
15,드러어
16,그거 다 보이는디 ㅠ 위에 상영실에서ㅠ
17,???
18,보통 설캠가서 하지 않을까?
19,국캠은 꿈과 희망의 동산 에버랜드~
20,설캠게가 리젠이 빨라서 저기로 모이지
21,국캠 넘조앙
22,맞앙 국캠 너무 평화롭고 사람들도 좋아
23,왜? 또싸워?
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ맨날 이랰ㅋㅋ
25,"어머님이 잘못하셧네,,,,,"
26,빤쮸만입고 줌 듣다가 캠켜진줄 모르고 3분간 송출됨
27,우승 ㅊㅊ
28,삭제된 댓글입니다.
29,얘들아 날 뛰어넘어줘 아직 우승은 일러 콘테스트잖아
30,삭제된 댓글입니다.
31,아니 이걸 왜 너를 혼내ㅋㅋㅋㅋㅋ
32,대결하자니까 얘들아 나 그냥 우승이니?
33,너 무지개팬티 걔지
34,?! 넹...
35,개웃곀ㅋㅋㅋ그때핫게보낸사람이 접니다...
36,일루와 당신들때매 하루종일 쪽팔렸다구😡
37,헤헤
38,1분내로안지우면 신고할거임
39,아 병신인가 진짜 웃으려고 쓴글에 ㅈ같은소리 하면 고소함
40,ㅇㅈㅜ
41,뭔 소리양
42,근데 오늘 갑자기 늘어난거니까 원래 일터지고 주말지나고 처리하잖아
43,남자인데 나가도 되나요 🔥🔥
44,학교 대 학교예요?
45,저 하고 싶어요!!(덜렁)
46,재미는 있을거 같은데....힘들겠네요😢
47,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
48,저희쪽은 다 우리학굔데 반대쪽은 잘 모르겠어요
49,whyra...no.......😭
50,1학기때처럼 당연히 대면일줄 알았는데 뉴스보니 바뀔듯 ㄹㅇㅋㅋㅋ
51,나도 이번학기복학인데 친구들보니 1학기도 기말엔 대면으로봤대 나도 비대면할줄
52,1학기 기말은 그래도 확진자 50명 미만이었는데 지금은 200넘을거같은데 대면.....???
53,1학기때도 기말은 대면으로 쳤어 ? 2학기 복학이라 잘 몰라서
54,제가듣는과목은 하나빼고 전부 대면시험이었어요 기말고사만!
55,아 걍 비대면 하지 ... 뭐하러
56,근데 시험은 대면이 더 좋던데..
57,나 지방 본가 살아서 지금 ...
58,그래서 전 긱사 신청했어요 ㅎ..
59,걍 비대면 하지 너무 억지네
60,저 밑에 글썼던 사람이랑 같은사람인가
61,자소설써야지 대회한거 없어도 조별활동은 하지 않았어?
62,있긴 한데 그걸로 자소설을 쓸 수 있을지는 모르겠음...ㅋㅋㅋ 마무리 안 좋게 끝난 것도 있고 그냥 버스 탄 것도 있고 해서...
63,거기서 버스 태워준 사람에 너를 빙의해서 쓰는거지 마무리 안좋게 끝난건 성적 잘받았다고 하고 실패를 극복하고 성공한 경험으로 쓰고 4점 넘는거보면 A+도 많을텐데 결론은 제가 이끌고 팀원들의 도움을 받아 A+라는 우수한 성적을 냈으며 회사에 입사하여도 이런 리더쉽을 발휘해 팀과 프로젝트의 협업을 이루겠습니다 하는거
64,내가 과연 그걸 할 수 있을까...ㅋㅋㅋ 노력해보겠음 ㄱㅅㄱㅅ
65,ㅋㅋㅋㅋ화이팅
66,당연하죠
67,그게 뭐에요??
68,이번 주 수업했던 부분이요!
69,카페가 잼씀
70,닥전
71,닥전
72,카페!
73,결론은 둘다챙겨라네 ㅋㅋ
74,취업판이 고이면서 둘다있는애들이 점점 늘어나는게 문제
75,냉장용이라고 적혀있으면 가능
76,일주일안에 다 먹을수있다면야
77,냉동실 틈새마다 꽊꽉 밀어넣어봐요!!의외로 가능하실수도
78,찾아보는데 죄다 냉동용이라는데..ㅜㅜ 냉장용 없나ㅜㅜ
79,ㅓㅜ....
80,냉동실이 없다잖아!!!!!!
81,자대에서 짬차면 군장이 3키로정도로 줄어듦
82,30
83,완전군장20kg였나
84,내껀 30키로 선임껀 2키로
85,군장만 20키로~30키로사이. 총기+헬맷+탄띠+방독면+군장 하면 보통 30키로로 치져
86,20키로
87,홀리~~ 군대가기 무섭누
88,짬차면 총이랑 방독면 무게도 가벼워지는게 팩트..
89,총도 가벼워지냐 ㅋㅋㅋㅋㅋㅋ
90,속에 노리쇠랑 다 빼자나
91,삭제된 댓글입니다.
92,애기들 사탕맛
93,헐 나 그거 이널졸아함 살게요 재발
94,홈플에서 샀으니까 큰거 맞을거에요. 진찌 제발 plz
95,영통이신가요??
96,왕복 5시간
97,강동구 편도 2시간 정도
98,대치동 편도 한시간 반...?정도
99,서초동 자차로 50분
100,논현동 강남역 거쳐서 왕복 2시간 반
101,반포동 편도 50분!!
102,성북구 자차로 1시간 대중교통 1시간반
103,잠실부근 편도1시간30분
104,악 나도 강동구 빡세다 학교다니기!!
105,오 대치붕이 ㅎㅇ
106,오아 안녕
107,보건소에서도 해요..?? 첨 들어보는데
108,엥 산부인과에서만 맞는 거 아닌가요..?
109,잘 모르게써요
110,내과 가정의학과 비뇨기과 등등 가능해요
111,학점 변환 4 넘으려면 3.8은 되야하는거죠
112,과 ㅇㄷ?
113,컴공 학점 3.3 서류 떨어져본 적 없음
114,학점도높은사람이 스펙도좋음
115,3.75 정도
116,3.7이 딱 4.0일걸요?
117,우리과에 4점 넘는사람 적어서 말하기 좀 그런데 건축건공사기반 중 하나임
118,사기반은 백퍼아님
119,오 그래??? 나 변환 3.5인데 이거 유지하고 다른거 준비할까?
120,"컴공 기준으로는 3.5 넘으면 플젝, 인턴, 코테, CS가 전부임"
121,오호 그럼 다른거 더 준비할게 고맙~~
122,학점 변환 4 넘으려면 3.8은 되야하는거죠
123,과 ㅇㄷ?
124,컴공 학점 3.3 서류 떨어져본 적 없음
125,학점도높은사람이 스펙도좋음
126,3.75 정도
127,3.7이 딱 4.0일걸요?
