,댓글
0,화이팅
1,응원합니다!
2,진심으로 응원합니다 ..!! 감사합니다
3,고생많으셨어요~!
4,여전히 같은마음으로 응원합니다 여미🌏
5,화이팅!
6,화이팅👏
7,응원합니다 👍🏻
8,여미 마려웠어요😆
9,뭔 성윤리 교육까지 받을 것 까지야.. 공식계정 업로드용 기기는 따로 구비해놓는게 좋을듯 합니다.
10,진심으로 응원합니다. 크루분들 건강 잘챙기시고 힘내세요 🙏
11,응원합니다!!😊
12,힘내힘내👏👏기다렸엉
13,오 ㅋㅋ
14,비판이 아닌 비난했던 사람들 반성하기를
15,👏👏👏
16,👏👏👏👏👏
17,"사람도 죽었는데 그만합시다가 아니라 죽으면 그만이 아니라 공소권이 없어졌고 그에 따른 조치를 취하며 재발방지를 약속했으니 여행에 미치다라는 브랜드와 그 밑의 직원들, 여미를 원하는 사람들을 위해 돌아와도 되는거죠.. 죽음이 면죄부도 아니고"
18,사람이 죽었으니 공소권없음이죠
19,👏🏻👏🏻
20,❤️❤️
21,페이지는 계속 되는거죠?
22,👍
23,힘내세요..
24,사람도 죽었는데 그만합시다
25,👏👏👏👏👏
26,응원합니다 여미 ! 고마워요 !
27,❤️❤️❤️❤️❤️
28,@_jh_p9
29,@dontcallmeeel 그래서 대표 어캐댐??
30,@se0b1n_
31,@woong.official
32,@jinhye_choi
33,뭔 돌아와야ㅋㅋ 하필 지금 코로나 다시 급증중인데
34,씨발 아직 안지웟네 사장 사망했는데 계속 할려고?
35,여미 여러분들이 다시 돌아 오길 기다리고 있습니다 힘내세요
36,원만하게 잘 해결되시길 바랍니다
37,여행 못가서 안달났나 다들... 좀 기다려봐라. 지금은 영업재개할 시기가 아니다 ㅉ... 👏
38,"영상이 처음 나왔을때는 그런영상은 애당초 없어야 한다 어떻게 핸드폰에 저런 영상이 있냐면서 비난하시다가 대표가 극단적인 선택을하니 다들 눈치보시면서 삼가고인을 빈다, 이건 살인이다. 한입가지고 두말을 하시는지;;"
39,ㅜ
40,"Comeback, please"
41,이제 업로드 안하나여 ㅠㅠ?
42,😠ㅕㅛㅛㅗㅊz. CSS l
43,ㅅ
44,한국인들은 겉으로는 최첨단 21세기를 사는것 같지만 그들의 뇌속을 들여다보면 15세기 조선시대 병조판서급의 꼰대력과 극단적 이슬람 근본주의자들이 기질이 살아숨쉬고 있다. 그냥 남녀할거없이 다같이 히잡두르고 평생 금욕하면서 살자 ^^
45,@thatthing9_ ? 그깟 야동 좀 봤다고 지랄한다는 댓글 뭐임? ㅋ 이렇게 본인들 불촬물을 딸감으로 소비하는 거 인정하는 셈~
46,댓글창 왜 열어놓은건가요
47,포르노라서 문제된건가 불법촬영물이라 문제된건데 뭔 야동한번도 안본 사람만 돌을 던져라여;;
48,씨발 아직 안지웟네?
49,5
50,간호사복도성상품화라뮤비도못입고나오는나라 여주실격같은데서 남아이돌은 아줌마들에게호텔에서 성상납하는건괜찮지만 여주가 조개깨는건 매장당하는나라 김민아가 청소년에게 에너지어디다가풀어요해도 정부유틉에선 그냥올리는나라 이제 웹툰에 펜싱용칼도모자이크돼되던데 ㄹㅇ 우리나라 전통의상이 아오자이나 치파오였음 성상품화하는복장이라고 금지했을듯.
51,어머머머
52,ㅈ ㄷㅈㄴ
53,?? 오랜만에 들어왔더니 댓글 도라방스네 책임 회피와 현실 도피인게 맞잖아요 정상적인 댓글을 달았던 사람들이 왜 정신병자가 되었는지 왜 악플러가 되었는지 정말 이해불가능
54,🔥
55,"매너없고 비난하고 정신병같은 댓글단 사람들은 왜 하나같이 비공개에 글하나도 없는 계정일까? 지들도 쪽팔린가?
삼가 고인의 명복을 빕니다."
56,여기 악플러들 다 처벌받게 해주세요 🙏
57,조준기씨 ....극단적인 선택에 안타깝네요..... 삼가고인명복을빕니다..
58,흠
59,이제 인스타 그만 삭제하심이 어떨지요
60,한번도 야동 다운받지 않은 사람만 돌을 던지세요.
61,아직도 안지웟네 징하다 씨발
62,거참 야동좀 볼수도잇지 싀발
63,삼가고인의 명복을 빕니다.
64,왜!! 죽고십어도~~ 남들이해준게먼데 ㅠ 자식땜 사랑하는사람더잘해주려구 더살고십은짜이
65,살인이나 마찬가지였음
66,삼가 고인의 명복을 빕니다... 너무 잔인한 세상..
67,삼가 고인의 명복을 빕니다 🕯
68,역시.... 다 똑같다 👍🏻
69,@seok_1995s ㄷ
70,삼가고인의명복을빕니다. 하늘에선 악플에 스트레스 받지말고 여행 잘하세요.
71,"인스타 관리하시는 직원분이 댓글 좀 닫으셨으면 좋겠네요,,, 논점이 제대로 흐려져서 다들 물어뜯고 난리인데"
72,"@zza_kim 여기 댓글들 참 ,,"
73,ㅉㅉ붕ㅅㅣㄴ
74,"죽음이 악플이 주된 원인이 아닐 수도 있어요. 자살하고싶은 사람은 늘 그상각을 가지고 살거든요. 몇시간전만해도 핼복하게 자기할일열심히하고 방긋웃다가도 갑자기 죽고싶고,울고,소리치고,그러는 건데 아마 우울증이 있지않았을까. 거기다 이번일이 터지니 갈수있는 준비가 다 되었다고 생각한거일지도 모르겠네요. 죽고싶은 사람은 엄청나게 나쁜일이 일어나서 다시는 일어날수없는 상황이 오면 쉽기 죽을 수있을텐데라는 생각도 가끔하거든요. 세상은 참 살기 어렵네요. 어떻게 살아가든."
75,초반에 실컷 욕하던 놈들이 이제와서 착한행세야ㅋㅋㅋㅋ
76,@180128_day 판 뒤집히는거 진짜 웃긴다;;; 잘못한 일에는 잘못했다고 비판하는게 맞는거 아닌가? 죽음은 안타깝지만 이런식으로 책임회피하고 또 사람들은 거기에 동정표 던져서 결국 잘못은 공중으로 사라져버리는 게 참 아이러닉하다.
77,삼가고인 명복을 빕니다. .. 정말 안타깝네요
78,악플쓴 사람들은 자신이 악플러였다는것도 모르는거 같다
79,🤔
80,상황이 어떠하든 죽음은 안타깝습니다. 삼가 고인의 명복을 빕니다.
81,여미가 다시 잘 일어 섰으면 좋겠어요🙏
82,기분이 좀 그러네
