,댓글
0,피드 잘보고갑니다👍👍
1,@kookhaaa 쿠카버거
2,국민들이 진짜 난민이란다.
3,ㅎ 지금 한끼로 떼우는 애들도 얼마나 많은데 어이가없네.😡니들이 잘 사니까 니들이 줘라.
4,우리나라 국민들하테만 줘라
5,먼소리야 이게
6,난민은 우리나라 국민이 아니다
7,"대체 왜라니. 이건 어차피 한국에 체류하는 난민이니 네들도 돈 줄테니까 한국에 돈 써라하는 거지. 이런 일 대승적차원의 복지에 우리나라 국민에게만 해줘라하는 사람들은 시선이 너무 편협한거임.이건 전 세계적 재난임. 충분히 해줄 수 있는 거고 한국에 난민으로 들어오는 사람들의 사정 생각하면 한국 옛날 전쟁후 정부건립과정 민주화운동 당시 유럽 미국 이런 곳가서 난민인정 받고 살았던 그 당시 우리나라 국민들 생각하면 정말 기본적인 지원은 해주고 나서 지원할 거 해줬으니 사고치지말라, 조용히 지내라 요구해야 함. 조용히 사고치지말고 살아라 큰 소리 치려면 대우할 수 있는 거 다 해주고나서 요구해야지, 그래야 사고쳤을때 우리나라 법으로 처리해버리기도 쉬움. 하나만 생각하고 당장 나한테 올 돈 줄을 거라고 안면몰수하고 빽빽거리기만 하는 건. 너무나 이기적인 처사. 대한민국도 한국전쟁 이후 민주화운동 시기 유엔 통해서 외국이 본인들 국가 젊은이들 한국에 파견해서 총알받이 세워야했고 전쟁 때문에 발생한 민주화 운동때문에 발생한 난민 받아줘야하는 곤란한 나라였다는 역지사지의 생각을 조금만 해본다면. 난민을 받아들이는 자체에 게거품무는 건. 진짜 비도덕적이고 비양심적인 것."
8,제정신인가?
9,이거 기억나네요 채연 인가그랫던듯요 미니홈피 추억돋네요 잘보고갑니다
10,@dawoon0926 오오~!!
11,@choa__a
12,@jingoni_s 버디버디까진 아니라구~~
13,° 싸이월드 없어지면 제 학교사진이랑 추억도 같이 없어지게 되요 싸이월드 잘 되기를 바랍니다
14,@jjeonhyo1004
15,@_bebe_elephant
16,@humming_mj 앱은안되지만 도매잉으롱 되나바
17,시즌1 이후가 코로나 시기랑 겹치는데 어떻게 나올까 궁금
18,@chea_oon_ ❤️
19,@yongeun_26 알고있었닝!?
20,@naajae_one @codnjsfk @steam_joooo 꺅
21,@sksalswls 이야아아아아아ㅏ아앙 빨리 시즌1보렴
22,@eun_o_o_ji 나 요새 1정주행중인데 행복하다
23,@wonki_ko 여름이래!!
24,@ijimin482 너가 조아하는거
25,@shjihoon 😃😃😃😃히히 신난당
26,@sso_emt 내년 여름이래!!
27,@eunjong_y00 헤헤헤헤ㅔ 앗싸
28,@min_gy0425 기대가 되눈구먼
29,@h_minybr_ 언니 6개월만 더 버티면 돼ㅠㅠㅠㅠ
30,"@anna.hyeon 너무멀엇는걸..,,?😱"
31,@hyeona._.yllw 여름이래...
32,@hhhanna_h 하ㅜㅜ 하하 !!!!
33,@oz_newoo 너무 가혹한데...?
34,@backonthevelocity
35,@youxsun 유선!!!!!!!!!!♥️♥️
36,@jively__1008 아악
