,댓글
0,고생하셨습니다 꿀잠주무셔용~~😴❤️❤️❤️
1,이때 오빠 헤어스타일보고 한번 더 반했었는데🙈🙈 오빠도 안녕히주무세요😴♥♥♥
2,추억돋아요^_____^ 아직 미팅중이지만~~ 잘 마무리하고 따라 잘게요^^ 먼저 주무세요~ 오빠~🤗🤗🙏🏻❤️ 꼭꼭 행꿈꾸세요~^^💛
3,🔥🔥🔥
4,You are the best 👍
5,오늘도 고잉 내일도 그대와 고잉 내일도 ~~~~~😊 상나잇
6,😍😍💙💙
7,지현이 넘 예쁘다😍😍😍
8,지금도 멋있으시지만 이때 완전 최고였지요👍😀👍
9,🌙
10,👍👍
11,💖
12,🔥🔥🔥🔥🔥🔥
13,😎🎵🎶😍
14,상민오빠 화이팅👍❣️
15,Legend
16,So cool❣️👍😊
17,😍
18,❤️
19,perfect
20,Ahjussiiii 🔥🔥🔥
21,😍😍 룰라 공연 너무 보고싶고 오빠도 너무너무 보고싶구 ❤️ 굿밤되세요~~ 상나잇 😆🌙
22,🤩🤩❤️❤️❤️❤️
23,시간좀되돌려주세요😢
24,Old but gold ❤❤❤
25,👍👍👍👍👍
26,The god father of crying rap😍🔥
27,Crying rap comeback when?
28,멋있다😍
29,와... 이노래 정말 재평가가 필요한 아까운곡💕
30,저도 랩하고 싶네요 ㅋㅋ🔥 크라잉 랩 😎 쁘아아악-!!
31,처음 들은 노래 있다 신나게 좋더라👍👍 역시 음악의 신이셔
32,♥️
33,😊💕
34,Ayyyyy rap that shit king
35,그 때 그시절~~~룰라 짱짱!
36,Please live in 2020
37,이상민 최고 파이팅~~!!👏❤️
38,WOW
39,🔥😢😍
40,에너지넘치는 상민형님 항상 응원합니다~!
41,최고였고 지금도 최고세요❤️
42,상민이형님 또 옛 갬성 젖으셨네. 잊을만 하면 크라잉랩 올라옴😆
43,안녕히주무세요~~
44,좋은 꿈꾸고 계시기를 😜 여긴 벌써 아침 😭
45,이때가 그립네요.
46,투명?저건 어디서구매해요?ㅋㅋ 탐나요 사고싶어요👍👍
47,😂
48,화이팅!!!!! 추운날씨 감기조심 하세요 😃👍
49,맛점하시구요~~~~😋 오후시간도 홧띵요~~~^^
