,댓글
0,❤️
1,@dear_gaga_ @dear__miiiiiiin @dear_jaejae_ @dear__mooooon gjf
2,"@m1nz_i @lgana_1021 @yunini._.325 @dbsgk_72 조심 또 조심 ,,"
3,@luminousiwon1515 @na_nyongnyong @seineina_
4,@1eajmik 이제 진짜 조심해야행 ...
5,@__seul_2s 와 사진도 이제 안되나봐...
6,@dongdongri__ 와.. 이거봐...
7,@m__j820 사진은왜? 개억지네진짜
8,@sunju________ 프사 내려야할듯..
9,@luv_sunni @luv_miini @luv_jini
10,@miksonni 소윤 공주 무서워요
11,@02_12.02_11.28 이거 봐
12,@na.rae_ 셀카 올리믄것도 안된데!조심
13,@lv10_2 오빠....뭐 표정 안보여서 조....ㅎ..겟...네.....하ㅎ🤷🏻‍♀️
14,@liiluu___ 헉
15,@o_o.sh_05 @jiyun_0805 @hahyung05 오....
16,@hee.02 ㄷㄷ
17,@olyeon_ 숙지하세요
18,@jaew_.k 헐 여보 이거봐 사진찍고 올려도 잡힌데
19,@ss_yeonkk 쟈깅 조심해❤️
20,@jinn_e2
21,@rain__kong 엥 사진도찌그면안대나바
22,@ggyuning_ 이거 바 이제 우리 사진 못 올려 비공개 계정에만 올리자
23,@ha__eun_03
24,@92s__j
25,@j_____y0m @loovvee.yeon @hee_o__ @hyohyun_dd
26,@jj_inalim @minseo0_0 @11h_22
27,@s_hyun94_
28,@mm_angs
29,@pinkpink_jeny @minjung_486 그럼 어쩌라는거지..
30,@h._.dodo_ 하 피부 디지고 숨 디지고
31,@x.nnn_m @m_ji_1004 ㅆㅂㅋㅋ
32,@dlddldrml__0 그냥 마스크를 얼굴에 그려야겠네
33,@kick_8_8 이그바
34,헬스장에서 어떻게 격한운동을피해 운동하러가는곳인데..
35,@h_s_e_v @zooo.ob.os
36,@layouseemi 너지켜본다😬
37,@y.hoooi 오우..
38,@purple__b_ @dhhh_091 인생샷 찍긴 글러따 ㅋㅋㅋㅋㅋ 마스크 쓰고 찍어야됨
39,@vnglglgl 잘쓰고다녀
40,@kim.m.j7619 ...ㅠ
41,@subini701 ㅁㅊ...
42,오마이갓
43,@yeonjoo_0518 와
44,@wjs_tndus 사진도 안된다니.. 와우...
45,@ssu0_0 숙지해ㅎ
46,@o_ooo_o__o ㄷ ㄷ
47,@yu_ri3827 @ji0ji__ 오...
48,@k_sumini 카톡은 아니겠지...
49,@awb0922 까먹고 또 옹이지말고
50,아주염병하고있네
51,@jongwon0912
52,@seulgggggi @chaejung__k @r._.imrim 애기두..?
53,@min__k_k 헐
54,@_chaeeeewon_ 시롸야?
55,@gaeun.__.stagram 피드에 마스크가 가득하겠군
56,@uxnoxxaxmx 엥 이건 존나 어그로 아니냐 ㅋㅋㅋㅋ 옛날에 찍은 건지 지금 찍은 건지 구분 어케 함..? 이거 하나하나 신고하는 거 공무원이 하는 거냐? ㅈㄴ 직업에 현타올듯
57,@j1n1ovejin618 ??? 띠용
58,@moonj_u
59,@_moonyomi 그렇댕
60,@sj.09.09
61,@benzino_0202 마스크 꼬옥
62,@hh.yaang ;; 우리 무조건 끼고 삑어야될듯ㅋㅋㅋ
63,"@26__holy 사진도 안되나부다,,,"
64,@__k_ys 이거 뭔데 내잉 사진찍어야 하는데 ..
65,@k_jin_h089 내가 말한게 이거임
66,@053_byeok 엥
67,@lim_0114 ㅁㅊ
68,@bora_darong 그지같다진짜 미친 우울증걸릴듯
69,@j__h0s ?!
70,@s._.dooungsu_
71,@y.sangu
72,@minwest.0 사진찍햐서 내는거구나
73,@junnyyy.___
74,@jwoooo19 헥
75,@gw_92_ 헐 여보 이거바
76,@lfms.______
77,@snrous.____ 엥
78,@__eunn2 10만원 조심해🙏
79,@h_jun.0
80,@l_s_y87
81,@chalnahi
82,@ming._.0913 머임 사진
83,@4jae_ 오오~~ 돈없으니까 별짓다해~~~~ 누가 단속하나 이걸~~~
84,@0.826k 언니 오늘 찍으면 벌금 물겟운데?..
85,"@_su_ya
@jj__chae"
86,@09_________20 😳
87,@jjjyyywww
88,@younvelly_
89,@jongminiiiiiiiiiiii @ham__1225
90,@miyoung_0129 @cute_suang
91,@ph.zzz
