,댓글
0,저분도 이상한거같음 남비판하는건 스님의 올바른태도인가?
1,근데 석가모니도 저격글 올리라고 가르치진 않았을 듯... 저렇게 저격 올리면서 석가모니 어쩌고 할 자격이 있으려나...
2,아그래서 뭐어쩌라는거야
3,풀소유
4,급발진..
5,ㄷㄷㄷㄷㄷ
6,👏👏
7,동감
8,현각스님 이분은 다른분이심 과거 쓰신 책이 너무 인기가 많아져서 참선에 방해된다고 절판까지시키셧던 분이래요
9,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나만웃기냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋ
10,"책읽고 너무 제 인생에 도움이되서..회사 강연오셧을때 사인해 달라햇다가,,쌩까고 간 이후로,,다신 믿지않능다 이준"
11,남비판하는것도문제고 👏시끄럽게떠드는것도반성해야할태도아닌가
12,다싫다ㄱㄱㄱㄱㄱ
13,불법은아니지만 스님이원래 속세에벗어나서 무소유생활하는건데 자기집잇고 사업하는게 보기안좋긴함 그렇게하면 무소유인생이아니니까
14,석가미만 다댓달지마셈ㅋㅋㅋㅋ
15,누구보다 속세를 누리고 살고있음ㅋㅋ..
16,플렉스님~
17,비판하지 않으면 이 세상에 있는 문제는 어떤 식으로 드러나야하는지...
18,@yeah.s2un 요즘 참 많이 이슈여
19,@sloth_tired 소유 가득이요~
20,@iamdkmd 풀소유
21,@alsseo._.l 스님들끼리도 디스전하나봄
22,@5ven_h0ng @cchoass_lke 둘 다.. ... ...
23,@dkvaus_7
24,@easy_sun56 아니 근데 맞춤법 틀리신 것도 찐 한국인같이 틀리셔서 난 그게 너무 웃겨....
25,@g_as_un2
26,@hye___real 아 차니🤦🏻‍♀️
27,@ngsrm_ 🤣🤣
28,@a_yun_e
29,@www_ooe
30,누가 진정 종교인인가 싶기도 하다. 다 직업일뿐
31,@jseoyeoni ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
32,@coe.jongnam
33,대깨문마냥 또 옹호하는 애들 등장할듯
34,@junghun_108
35,입으로만 바르게 살라하는 방송인
36,@keuna88
37,일단 혜민은 검은 머리 외국인이라는 것부터가 ㅋㅋㅋ 아 머리카락이 없구나? 머리카락 빼고 다 소유했네 ㅋㅋㅋ
38,비판할망함ㅋㅋㅋ
39,풀소유ㄷㄷㄷ
40,ㅋㅋㅋㅋㅋㅋㅋㅋ 걍 불교가 싫다
41,화계사 어릴때 근처에 살았었는데 초중생들에게 외국스님이 아침에 영어가르쳐주고 했어요ㆍ그리고 6학년때 IMF터지고 아빠 퇴직하고 쌀 살돈이 없어ᆢ중국찐쌀 먹을때 우리집에 국내쌀주던 참고마운 절이에요
42,ㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋ 불교도 참 ㅋㄱㅋㅋㄱㅋ
43,미친..
44,똑같은 중생(=짐승)이네
45,진짜 무소유는 스님이 아니라 내가하네ㅠ 집도없고 차도업고. ㅅㅂ ㅠ
46,풀발 풀소유 ㄹㅇ 속세템 갑부
47,혜민스님 도루왕하는소리 ⚾️ 온전신에 사기꾼이네 @yongki_18 @__yeob2__ @eun202
48,"혜민스님 서울 노른자땅 뷰 좋은 곳 거주하시고, 마음 치유학교에서는 타로상담도 하시던데, 아 전생체험도 하심 이미 종교인의 범주는 훨씬 벗어난듯 나보다 더 속세에 살고 계심"
49,흠.. 스님이라고 꼭 구시대적으로 살아야하나.. 석가모니께서도 몸이 힘든 수행은 필요없다지 않으셨나? 스스로 깨닳는것이 중요하지 그 과정이 꼭 단절된 삶을 살아야하는것은 아니라고 봄 하지만 그럼에도 속세를 떨치지못하고 무소유를 실천하지 못한점은..흠..별로네..
50,감스트 쾌유 응원합니다 😭
51,헐 어떡해..
52,감스트의 빠른 쾌유를 빕니다😢🙏
53,아프지망
54,@ksss_g
55,@p_ymin_ 헐
56,@big_hyun0926
57,@johnny_junnnn 실화야 .. ??
58,@hero._.dm
59,@eunnna512 헐 감스트....
60,@ta__kkkk 어머 ..
61,@mideoduck 😂
62,@s_j1207
63,@sim_minsu
64,@zzang__ma
65,@n__jh_3540 뭬ㅔ?!!!!!
66,@danbi_2_7_5_5 ?
67,@jang.seungtae 헐
68,@0727_p.h 이거보ㅓ
69,@hyunsung_1220 ㅠㅠㅠㅠㅠㅠ힝
70,...ㅠㅠㅠ @m.jeong_ddooong
71,@ji.seunghyun_
72,@kop_root ????
73,@im.leeahyoung ㅇ에ㅔ.......
74,@jaeyoung159
75,@highghoon 잉직아..
76,@cahqloqhhd
77,@east_hot98
78,@_ga_hun 미친 ㅎㄷㄷ
79,@kiwon11 컹스ㅜㅜ
80,헐
81,헐!!!!!!!!!!!
82,마우스를 왜 집어던져요...
83,"눈물좔좔,,,"
84,쒯
85,아니 형 ㅜ
86,@moonwoong_ 썬웅아 ㄱㅊ아?
87,@kapping_penguin 헐 어떡해..
88,@juu._.nwi
89,???ㅋㅋㅋ
90,@h__u_n__
91,"@ya._.09._.12 ㅠ스트형 아프데 올해 다사다난하누,,"
92,@songjj825 헐 ㅠㅠ
93,빠른쾌유하세용
94,@cttc_artwork 오빠가 조아하는 ..
95,@gaeryongs.life 야 봤어 이거?
96,@haeun_oh678 @d.hyeonee_ ??????엥...어떡해
97,헐 스트님
98,"@j2esu_ 에,,?"
99,@go_1.29 야 어떡해 헐
100,@h_y_e_j_u_n_g 야..
101,@han.jinweon
102,야 김인직 아프지마 내 맘도 아프잖아 얼른 나을거야
103,@bbang_jour_99 어케
104,@sssssuu_
105,@6yn_17 헐
106,@kkuma_09 홀
107,@1eedongkwan 대박
108,헐.......
109,@m.zzziii_
110,@hyeon_uk_4529 안돼 우리 인...직
111,@1207_koku
112,@dahijua_ ㅠㅠㅠ??
113,@jimin_1001st @lufwa_ ??
114,"@ss_yj_ss 인직이 다쳤어,,"
115,아기잉직 아프지마😢😢
116,@seong___j1n
117,@guaranteed_graduation ㅅㅂ 요즘 무슨일이야 ㅜㅜ
118,@1k2y0j3
119,@haeyun._.01 ㅠㅠ
120,@seong____2 야.. 감스트행님 뭔일이노
121,@jh900512
122,@sung_joo621
123,@ssun_nong 어우...
124,@ha____suk
125,@jg_d0 유감스트..
126,@hyeon_woo7777 ㅎㄷㄷ
127,감스트 인생 롤러코스터 엄청나네...
128,@hm_softi ㄷ
129,@jy__yoo4 헐...너의 최애 비제이
130,인디기 아파또?
131,@beom_jun_0614 뭐냐
132,@lhj1497 ?????
133,@eriazel1117
134,@jjuchan
135,@11_80p
136,@mins0____0
137,😭😭😭😭
138,@gggggangil 헐 우리인직이
139,ㅠㅠㅠㅠㅠㅠ @irrronn
140,@kangminjaw7422 미쳤다..
141,@eunseotagram94 헐시빌....
142,@zziroll ㅜㅜ 인직찡
143,아 시발
