,댓글
0,@1207_koku 난 24헤
1,아 저런 테스트였구나 난 또 병원에서 검사한줄 알았네
2,@na_hy_1230 세상에
3,난 또 병원에서 체크한거줄
4,@daily__sy_0 어그로 지림 ㅅㅂ
5,나혼산 제작진들 섭외력 오지네 엑소카이를 섭외하다니 👏🏻👏🏻👏🏻👏🏻👏🏻☺️
6,아가가각가ㅏ까ㅏㄲㄱ 씬놔
7,@sibanni_467137 순간 보고 구란줄 알았어;;
8,@western_jade @2stbro
9,@sumin_txt 재밋겠다
10,@chlbpetal_ 오
11,@jung_cong_
12,@jxeunny_ 이것도 보고
13,"@loveis_madnesss 아뉘 너 찾느라 애먹었네 암튼 이거 담주인거야?????담주금욜?,,????"
14,"@5._.eunj1 종인이가 나혼산 나오는것도보고,, 강산이 많이변했다,,,,"
15,@june_419k 와 다음주에 꼭 본다 ㄹㅇ
16,@do_everything_vv 오 카이 나온데 ㅋㅋㅋㅋㅋ 담주 나혼산 기대된당 재현이도 윤오도 도영이도 동영이도 나혼산 언젠가 나오는 날 있겠지?@.@
17,@ijni.m 자갸 본방사수 가즈아
18,@dabi_0610 ㅇㄴㅋㅋㅋ 벌써부터 뭔가 쟈밌음
19,@sor_sor_1126 아니 소린아ㅋㅋㅋㅋㅋㅋㅋㅋ 이거 개꿀잼 각이다ㅋㅋㅋㅋㅋㅋㅋ
20,@yee_1730 재밌겠다..
21,@luv2_hyun 이건 봐야겠는데요😍
22,@db__yujin_ 헐 조니니... 본방사수 해야겠다❤️
23,@sseohee22 종인..?
24,@js.20_ 오
25,@94__ec_
26,@yumin_5570 조카랑 잇는거 왜웃기냨ㅋㅋㅋㅋㅅㅋㅋㅋㅋ
27,@codus_cy_1006 @zzi_ddong_ 엄머?
28,@b._56h
29,@hye_rin0410 카이
30,@hee_hee_030
31,@doyoeno_o
32,@ny_g.xmhm 개좋다구......
33,@___min._.j_ 헐
34,@yujinee2_ 나온대 한번봐라
35,@yun_2161 홀 ❤️ 미쳤다
36,@sim_ba___
37,@h.u411
38,@fandeyourrandf 성빈아 햄복행
39,@jiyunannnn11
40,@aubri0912 와 ㄱㅂ 미쳣서
41,@suicidenrebirth 축하드립니다
42,@haemin030
43,@leetnqls__ 언제 금요일돼??????
44,@yujeong_05jujj
45,@kimeunbin.exol
46,@s.y_0325 봐자
47,@96hyeon_gyeong 야야 첫번째 사진 쥬니버 옷입히기게임에서 뒷머리 안붙이고 앞머리만 붙인 것 같지 않냐
48,@_dori_x2_ 나 그래서 금요일에 점심시간에 정독실 가야해
49,@exdrhtodz 갑자기 인생 살맛난다.. 예고편 1130번 돌려봄
50,@0719ramiday
51,@___unzoo 카이가나온댜
52,@cooinggg
53,@yubin_0501 ㅁㅊ...?와 엑소가 저길 나온다고??
54,@jy_0219
55,@daen_0807 아 미쳤나봐아아
56,@yn_ji0 👍👍👍👍👍👍👍👍
57,@29_sh_09 @me_hyunjung_0_0
58,@min.__.so
59,@mandeuk_eee
60,@heesoooooooooo1004 대미틴미친미틴미친빛ㅌㅊㅊ비니밈ㅁㅁㅁ미밈
61,@mungyeong814 본방사수
62,@__cocoz_ 끼야야약끼야야야갸ㅑㅑ야야ㅑ갸갸
63,@skdywlsd_oo 미쳣구나 너무 좋닿ㅎㅎㅎㅎㅎㅎㅎ
64,@s.__.un_n 미쳐따😭😭😭
65,니니야ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅍㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜ
66,@kkking_ram 미친!!
67,@jjyuny_ya 엥 꼭 보렴
68,ㅋㅋㅋㅋ 제니가 잘보겄네
69,카이❤️😭
70,카이춘..✨
71,@xsugangx 와우
