,댓글
0,와 드디어 에뛰드
1,형 남친 있어요?
2,내다리보다예쁘다~~~😍
3,안본눈삽니다😭🙏
4,와 드디어 에뛰드 존버성공인가요
5,이쁘다💕
6,분홍색 완전 잘 어울리심..💗 플랫 사이즈가 맞는게 있다는 것도 신기해요ㅋㅋ
7,가장 곱다 👍
8,다녀오세요 공주님💕 잘 하셨나요?
9,ㅋㅋㅋㅋㅋㅋㅋ 개이뻐ㅋㅋ잘 어울려요🤗
10,ㅋㅋㅋㅋㅋㅋ성규 님 너무 예쁘세요😍 다리도 예쁘규 핑크핑크도 너무 잘 어울리시네요😆💖
11,이 와중에 우리슈스 너무 이뻐서 깜놀했어요🌹🌹 #분홍공주#장성규임 주의
12,각선미 실화소니 ㅋㅋㅋㅋㅋ 슈스 넘 예뿌다 예뿌 💘 고생 많으셔용 ㅠㅠ
13,😢💓
14,업로드 언제 되나요~ 빨리 보고 싶어서 어떻게 기다리죠? #남자는역시핑크💕 #예뻐요💕
15,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 나도 에뛰드에서 근무 했었는데 존버할걸 ㅠ ㅠ ㅠ ㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ🤭🤭
16,오 드디어
17,누가 진짜 할 줄 알았을까...
18,형 아모레퍼시픽 신용산 세계본사 보안사원입니다 오늘 아모레 오셨다면서여
19,헐 드디어
20,❤️좋아요 1번 !!
21,@sxohxon_ 다리봐....🤭✨
22,@j_iisooo 무엇
23,@04_hansol 다리 왤케 이쁰ㄹㅋㄹㅋㄹㅋㅋ
24,@chan_jhye
25,@syool2ya 개웃기네 ㅅㅂ
26,@iameunbiil 와 가장 어케하노
27,@yu_rim123 이거임????ㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
28,@hx.xax 가장의 짐을 짊고 있지 그치
29,@on_inrmoon 엌ㅋㅋㅋㅋ드디어 에뛰드 가셨네
30,@lkb_02 오빠 너무 멋있어요 ㅜㅜㅜㅜㅜ 반했어욤 ㅜㅜㅜㅜㅜㅜ
31,@sam.lim.y 먼가 여기 신촌에뛰드 같은데
32,@bona_gu
33,@juhee_615 와 핏 봐라.....오로라 공주 실직 각이다....michin 너무 좋아
34,@hodyguard_ ㅋㅋㅋㅋㅋㅋㅋ드디어
35,@dlfrl.mini ㅇ...ㅇ...오오.........................핑크 니삭스가 잘어울리는 남자.... 공주원피스가 잘어울리는 남자....... 멋지다........ㅎ💖
36,@seungmin2e2e 헉 드뎌
37,@na_qwxwp 개웃김 ㅋㅋㅋㅋㅋ
38,@ol_jih 장성규님 너무 좋닼ㅋㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋ
39,@re_silver ㅋ 조팬더 ㅋㅋㅋ
40,@hkyeong056
41,@su___n2 ㅋㅋㅋㅋㅋ아놔 ㅋㅋㅋㅋ미쳐써 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 잘어울려
42,@norico0n @ha__y_j @ksvvm @myeniiii
43,@yiseon99 ㅋㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋ
44,@keemyunji ㅋㅋㅋ 가장의무게가 무겁댘ㅋㅋㅋㅋ
45,형 종어리 어떻게 빼셨어요 다이어트 10년찬데 계속 안빠지네요..
46,학
47,기다렸어요 에뛰드
48,일빠
49,👏🏻👏🏻👏🏻👍
50,찢었다...🔥
51,이쁘네요ㅎㅎ
52,도데체 어디 각선미가있는거죠??....
53,헐 예뿌당..ㅠㅠ
54,@1n0oppang @in_na.1 미쳤낱ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
55,곱다~^^🤣
56,각선미 최고네요👍
57,드디어!!!!!!
58,결국 에뛰듴ㅋㅋㅋㅋㅋㅋㅋㅋㅋ👍👍
59,Hahaha that's look good on you😆👏
60,각선미...쩔어요
61,예뻐요🤣
62,언제나와요이겈ㅋㅋㅋㅋ
63,헉ㆍ뀨디~~~다리미남 이였네요 ~^^😂
64,우아~~핑크핑크하네요~~^^👍👍😍😍
65,드디어!!!!! 에뛰드!!!!!!!!!!
66,헐 결국ㅋㅋㅋㅋㅋ👍
67,목걸이 디테일까지👍아 자세히보니... 머리띠 목에 걸친건가....요?
68,솔직히 안하길 바랬다
69,와 소원성취했다
70,신촌인데 못봤어요 형 ㅠ
71,곱구랴..
72,뭐야 뭐야 ㅇ예고편이야???😘
73,각선미... 너무 예쁜데여
74,드디어 레전드
75,그와중에 다리가 이뻐..👍🏻
76,핑크핑크 하시네요 이쁩니다 😭
77,ㅋㅋㅋㅋㅋㅋㅋ 아 개웃겨
78,노란 선넘었네
79,와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
80,너무 무겁다
81,에뛰드 ...10년전 유니폼이생각나네요ㅎㅎ저도 그렇게입고일했던 시절이 있었는데
82,근데 1도 어색하지 않고 이상하지 않고 잘 어울리심당~장성규님의 한계는 어딘교??🤔😏😁👍
83,그 와중에 다리 이뿌시네..
84,ㅋㅋㅋㅋㅋ
85,@hongjionni 여기 신촌이라곸ㅋㅋㅋㅋㅋㅋㅋㅋ
86,@parklaurenn 공주님
87,@humskimo
88,@iiiiiiitaegi
89,ㅋㅋㅋㅋㅋㅋㅋㅋ
90,@na._.kooooo 각선미 무슨일...? 나보다 얇아
91,@iisrnin
92,🤣🤣🤣🤣ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
93,어....어서오세요.....곤듀님...?
94,각선미 왠닐ㅋㅋㅋㅋ
95,"Omagaaa maan, you're so extra 😂😂"
96,장성규가 아니라 장성귤이었네...
97,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
98,미쳐버려욬ㅋㅋㅋ ㅜㅜ
99,우와 다리가. . 여자보다 아름다운건 무엇???🤣🤣🤣👍👍👍
100,@bak_dam_on ㅋㅋㅋㅋㅋㅋㅋ
101,ㅋㅋㅋ웃기닼ㅋ
102,@real_js_ 아 진짜 귀여웤ㅋㅋㅋㅋㅋㅋㅋㅋ
103,너무 예쁜.... 각선미무엇?!!!
104,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
105,@x2002i08o11n
106,와 드디어 에뛰드???
