,댓글,악플여부,출처
86851,2규,0,./data\장성규.csv
90619,ㅍ6,0,./data\함소원.csv
88937,1빠,0,./data\최자.csv
88917,4빠,0,./data\최자.csv
88916,1빠,0,./data\최자.csv
85145,0g,0,./data\장성규.csv
87311,1등,0,./data\장성규.csv
77674,22,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
88926,2빠,0,./data\최자.csv
77683,22,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
77675,22,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
87861,3빠,0,./data\장성규.csv
88880,1빠,0,./data\최자.csv
77879,A4,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
88772,1빠,0,./data\최자.csv
85786,1등,0,./data\장성규.csv
87865,1빠,0,./data\장성규.csv
81802,x6,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
77703,16ㅂ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86242,조 커,1,./data\장성규.csv
77669,518,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
83242,ㅇㅂ2,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
84384,311,,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
77510,홍 어,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
77503,홍 어,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
89438,ㅁ1ㅂ,0,./data\함소원.csv
83923,네 형,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86748,우 수,0,./data\장성규.csv
76652,2ㅈㅎ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
79490,안 씨,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
89852,휴 ㅠ,0,./data\함소원.csv
89173,헐 형,0,./data\최자.csv
77496,홍 어,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
76651,2주화,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
87866,형 짱,0,./data\장성규.csv
76618,짱 깨,1,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
89040,w0w,0,./data\최자.csv
88652,ㄱ44,0,./data\최자.csv
81094,일 수도,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
81055,머 ㅡㅡ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
85014,헉 드뎌,0,./data\장성규.csv
85081,오 마이,0,./data\장성규.csv
87662,댓글2빠,0,./data\장성규.csv
87021,오 너다,0,./data\장성규.csv
76518,닉 ㄷㄷ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
88976,음 지려,0,./data\최자.csv
87558,보고 가,0,./data\장성규.csv
85373,아 내눈,0,./data\장성규.csv
81048,머 ㅡㅡ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
81044,머 ㅡㅡ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
85542,이게 짱,0,./data\장성규.csv
85109,딱 니룩,0,./data\장성규.csv
79861,니 밑글,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
78296,ㅇㅂ ㅋ,1,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
87463,와 요괴,0,./data\장성규.csv
87056,ㅠ 존잼,0,./data\장성규.csv
87087,오 대박,0,./data\장성규.csv
86561,아 깜짝,0,./data\장성규.csv
86603,헥 섹쉬,0,./data\장성규.csv
86573,형 제발,0,./data\장성규.csv
83090,난 가능,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
83661,삥 바리,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
76062,니 애미,2,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
80665,벌금 빚,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86691,악 내눈,0,./data\장성규.csv
85628,아 리신,0,./data\장성규.csv
82253,즐 ㅗㅗ,1,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
80478,머 ㅡㅡ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
76848,얜 뭐지,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
88646,옿 여긴,0,./data\최자.csv
88852,30분전,0,./data\최자.csv
82051,와 뭐냐,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
91005,또 다시,0,./data\홍석천.csv
84628,랄랄 라,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
77221,닉값 ㅋ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
84566,그저 빛,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86807,0ㅓㅓㅜ,0,./data\장성규.csv
89833,또 매진,0,./data\함소원.csv
87979,아 대박,0,./data\청와대댓글.csv
88656,굴 따흑,0,./data\최자.csv
81629,왜 궁금,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
81724,ㅇㅇ 너,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
82580,너 이근,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
76535,1일 전,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
83212,니 인생,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86397,악내 눈,0,./data\장성규.csv
86687,뭐래 ㅋ,0,./data\장성규.csv
77941,응 블라,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86390,제발 좀,0,./data\장성규.csv
84922,즐 ㅗㅗ,1,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
78002,별의 별,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
87108,쌍규 럽,0,./data\장성규.csv
86707,아 모야,0,./data\장성규.csv
86601,오 무써,0,./data\장성규.csv
86628,왜 그래여,0,./data\장성규.csv
86719,아 깜짝야,0,./data\장성규.csv
80812,ㄷ ㄷ ㄷ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
80681,맞블라 ㅗ,1,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
80642,그렇지 ㅋ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
80498,땡큐 ㅋㅋ,0,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
86711,누구냐 너,0,./data\장성규.csv
