,댓글,악플여부,출처
75,지랄을 한다 역격리 고맙다,2,./data\JTBCNEWS_인스타_댓글_1116.csv
86,지네때문에 온나라가 지랄낫는데,2,./data\JTBCNEWS_인스타_댓글_1116.csv
95,짱꺄나 쪽바리나,2,./data\JTBCNEWS_인스타_댓글_1116.csv
122,지랄한다미세먼지나 잡아라 중국에 말도 못하면서 말은 잘도 씨부린다,2,./data\JTBCNEWS_인스타_댓글_1116.csv
178,아무리 내새끼라도 다리병신 만들어버렸을듯,2,./data\JTBCNEWS_인스타_댓글_1116.csv
228,yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다,2,./data\JTBCNEWS_인스타_댓글_1116.csv
277,도대체 저자의 뒷백이 무엇일까 뭘 믿고 저 지랄일까 뭔가 믿는 구석이 단단히 있는걸,2,./data\JTBCNEWS_인스타_댓글_1116.csv
293,술깨면 부끄러워 어쩔러구지랄이신지,2,./data\JTBCNEWS_인스타_댓글_1116.csv
389,무엇이 그들을 죽음의ㅣ 이르게 했을까 욕심이다 택배는 기본적으로 동일지역에 다수의 택배기사가 일할수 있는 시스템이다 하지만 기사들은 동일지역 동일택배사에 다른 기사가 들어오는걸 원천봉쇄 하고 물량을 독점하길 원한다 한면만 보지마라 분류를 하지 않겠다고 그게 기업의 책임이라고 공무원의 나라를 기대하냐 대다수의 일반기업에서 야근수당 없이 야근을 하고 있다 그들이 병신인가 그들은 불행하냐 어찌 대기업과 공무원만 이나라에 존재하냐 JTBC도 점점 짜증이난다,2,./data\JTBCNEWS_인스타_댓글_1116.csv
426,지랄도풍년이다 이시국에무신파티무신데이,2,./data\JTBCNEWS_인스타_댓글_1116.csv
557,씹새끼 잘 보소,2,./data\kbs댓글.csv
582,동호회 젤 싫다 지들이 왕이야 지랄도,2,./data\kbs댓글.csv
585,지랄하고 자빠졌네,2,./data\kbs댓글.csv
606,옘병 시불,2,./data\kbs댓글.csv
614,공공시설을 사적으로 독점 이용 공무원은 다 알면서 재대로 업무처리 안 함 파면시켜야 함 개쓰레기 공무원과 동호회,2,./data\kbs댓글.csv
619,머저리도 아니고 떠난 사랑한테 머하는짓이야,2,./data\kbs댓글.csv
700,시민의식 짱깨 우뺨 갈겨버리네,2,./data\kbs댓글.csv
709,인성 ㅡㅡ즈그집불나면 지랄할것들이 ㅡㅡ,2,./data\kbs댓글.csv
770,또라이가 진짜 벌 받아라,2,./data\kbs댓글.csv
833,지랄도 가지가지,2,./data\kbs댓글.csv
843,지네 도로는 고요하다 어쩐다 언플 발광해대더니ㅋㅋㅋㅋㅋㅋ 정신병자의나라,2,./data\kbs댓글.csv
864,병신 헬멧을 안 쓰는 건 이유가 있구만 쓸데없는 걸 달고 있어서,2,./data\kbs댓글.csv
867,또라이새끼 아냐,2,./data\kbs댓글.csv
868,세상은 넓고 또라이는 많다,2,./data\kbs댓글.csv
870,저기도 바기지땜에 손님 떨어진데 아닌가 저런거 하지말고 인식부터 바꿔야지 돈지랄이네,2,./data\mbc댓글.csv
894,역시 짱깨,2,./data\mbc댓글.csv
897,걱정마라 간식거리 숨어서 찾는거다 짱깨들은 못먹는거없다,2,./data\mbc댓글.csv
989,지랄 나 껌 실수로 삼킨 적 개 많은데,2,./data\subusunews.csv
1111,이카드 뉴스는 하이네켄 코리아의 지원을 받았습니다 잘한다 공중파가 ㅉㅉ그리고 하이네켄이야 당연히 사람이 많아져야 지들 술 많이 파니까 저런 거라도 하는거고 이태원은 된통 당해도 싸다 인천 모 학원강사 확진자 발생때 방역 수칙 비미한 업소도 많았고 이번 할로윈남의나라 꼬맹이들 과자 파티가 좋다고 따라하는 찐따들 때도 단속에 걸리는 업소도 더러 있던 데 이나라는 멀었어 아직,2,./data\subusunews.csv
1117,지랄 해방촌 가봐라 아주 주말마다 마스크안쓰고 바글바글,2,./data\subusunews.csv
1119,코로나 전에 이미 물가 폭등으로 손님들 줄어들었는데 대깨문들 코로나 탓하는 거 쥰나 역겹죠,2,./data\subusunews.csv
1133,블핑 이랑 방탄 뮤비에 나오고 킹덤 히트치면서 한복이 뜬다 싶으니까 이것들이 또 지랄을 떨어댐 지금 유행하는 것 중에서 느그들꺼는 코로나 뿐이다,2,./data\subusunews.csv
1151,지랄말고 꺼져라,2,./data\subusunews.csv
1177,모르니까 저 지랄 하는 거 아녀 쓰펄,2,./data\subusunews.csv
1192,쟤넨 중간이 없냐 ㅋㅋ 일부 때문에 중국 전체 말아먹게 생김 한복 치솟아 오르니 갑자기 한족 들먹이면서 지랄함 꼬우면 전통의상 쳐 입고 다니지 ㄱ,2,./data\subusunews.csv
1204,bts가 이미 한복 한번 입지 않았나ㅋㅋ 그나저나 이런거 맨날 이슈되면 뭐하냐 우리나라 사람들도 뭐 딱히 옛것을 지키려고 하지 않잖아 제대로 아는지 물어보면 우물쭈물이고 중국 일본이 맨날 지랄하면 화만 내고ㅋㅋ,2,./data\subusunews.csv
1228,지랄도 지랄도 너희들껀 코로나와 미세먼지가 너네꺼야,2,./data\subusunews.csv
1245,아 시바 쟤네 왜 지랄이야,2,./data\subusunews.csv
1246,지랄을한다ㅋㅋㅋㅋㄲㅋ지들거나 발전시킬것이지 맨날 남의거 넘보냐ㅋㅋㅋㅋㅋㅋ아니우리나라주위애들은왜케다지거라고 우기는병걸리는미친애들뿐이지,2,./data\subusunews.csv
1264,개지랄떨고잇네 후,2,./data\subusunews.csv
1265,지랄도 가지가지다,2,./data\subusunews.csv
1272,아효 지랄들을하세요 아주,2,./data\subusunews.csv
1276,이 조금한 나라가 뭐가 부럽다고 우리나라 문화를 뺏고 지랄이야,2,./data\subusunews.csv
1286,샤이닝니키 이짱깨샛기들이,2,./data\subusunews.csv
1289,지랄 별 발광을 다떠네 ㅆㅂ,2,./data\subusunews.csv
1294,양싸이드로 지랄이야 중국은 코로나 주고 한복 가져가고 일본은 독도 가져갈라하고 지랄났다 스발,2,./data\subusunews.csv
1372,가지가지로 지랄하네,2,./data\subusunews.csv
1377,중국 참 지랄들 한다 증말 코로나나 가져가지ㅋㅋㅋ미세먼지두,2,./data\subusunews.csv
1391,짱깨 아으,2,./data\subusunews.csv
1405,병신은 병신인걸 모르니까 병신이다,2,./data\subusunews.csv
1407,진짜 그만 옘병해라,2,./data\subusunews.csv
1409,진짜 지랄들하는구나,2,./data\subusunews.csv
1411,병신같은 모택동이가 문화대혁명때 수많은 문화유산을 지들 손으로 다 때려부시고 불태우고해서 다 없애버리고선 ㅋㅋㅋ 문화유산 해석이 가능하고수많은 지식인들을 다 죽여놓고선 ㅋㅋㅋ 그러니 근본 없는거지 ㅎㅎㅎ,2,./data\subusunews.csv
1413,진짜 지랄허네,2,./data\subusunews.csv
1418,아주 지랄 쌈싸드세요 ㅋㅋㅋㅋ 왜 영국이랑 일본의 식민지였던 너희는 그럼 ㅋㅋㅋ 일본이랑 영국 문화배낀거구나 이래서 어른들이 중국 떼놈들은 팬티도 조심하랬는데 ㅋㅋㅋㅋㅋ 짝퉁의 대가들 ㅉㅉ 발전 이 없어 애들이,2,./data\subusunews.csv
1425,병신짓을 만들어서 쳐하니 타이완넘버원 소리가 나오지,2,./data\subusunews.csv
1428,지랄도 풍년이네 이럴때마다 생각나는 단어는 착짱죽짱 밖에 없다,2,./data\subusunews.csv
1444,옘병들을 떨어요,2,./data\subusunews.csv
1478,가져도 됨 그대신 니네가 뭘허든 앞에 짭 이붙을거야 ㅗ 죠랄도 정도가 잇지 짱깨들은 원래 태생이 짭인가 하긴 모든 바이러스가 made in china ㅗㅗ,2,./data\subusunews.csv
