,댓글,악플여부,출처
6966,0,,./data\김계란.csv
2562,6,,./data\subusunews.csv
3009,0,,./data\ytnnews.csv
12287,1,,./data\문재인.csv
3608,0,,./data\ytnnews.csv
4041,7,,./data\김계란.csv
4057,7,,./data\김계란.csv
6090,0,,./data\김계란.csv
13736,1,,./data\문재인.csv
1055,4,,./data\subusunews.csv
4068,7,,./data\김계란.csv
13099,U2,0,./data\문재인.csv
5578,2기,0,./data\김계란.csv
13747,5빵,0,./data\문재인.csv
4639,2등,0,./data\김계란.csv
4621,1둥,0,./data\김계란.csv
7722,62,,./data\문재인.csv
2383,개 꿀,0,./data\subusunews.csv
1655,5호선,0,./data\subusunews.csv
11878,Z1랄,2,./data\문재인.csv
5842,큰 잠,0,./data\김계란.csv
1605,5호선,0,./data\subusunews.csv
1601,5호선,0,./data\subusunews.csv
11366,쩝 쩝,0,./data\문재인.csv
5615,ㄲ ㅑ,0,./data\김계란.csv
5436,코 란,0,./data\김계란.csv
9454,걐 퉷,0,./data\문재인.csv
1725,5호선,0,./data\subusunews.csv
2943,눈 봐,0,./data\ytnnews.csv
769,하 ㅜ,0,./data\kbs댓글.csv
3699,돌았0,1,./data\고영욱.csv
866,또라2,1,./data\kbs댓글.csv
9753,ㅜ ㅜ,0,./data\문재인.csv
1096,삶 삶,0,./data\subusunews.csv
970,헐 껌,0,./data\subusunews.csv
1600,5호선,0,./data\subusunews.csv
2244,꼭 봐,0,./data\subusunews.csv
3853,존 싫,0,./data\고영욱.csv
1934,쩐 다,0,./data\subusunews.csv
2018,걍 사,0,./data\subusunews.csv
2196,오 구미,0,./data\subusunews.csv
10568,캬악 퉷,0,./data\문재인.csv
6320,오 드뎌,0,./data\김계란.csv
3566,와 시바,1,./data\ytnnews.csv
3542,헐 ㅜㅜ,0,./data\ytnnews.csv
7171,아 역시,0,./data\김계란.csv
1957,윽 프로,0,./data\subusunews.csv
3471,젓갈 놉,0,./data\ytnnews.csv
3460,떼잉 쯧,0,./data\ytnnews.csv
764,아 ㅡㅡ,0,./data\kbs댓글.csv
3414,와 씨바,1,./data\ytnnews.csv
3387,아 시발,1,./data\ytnnews.csv
12747,준비 2,0,./data\문재인.csv
5167,좋다 ㅋ,0,./data\김계란.csv
718,엥 대전,0,./data\kbs댓글.csv
3163,헉 미친,0,./data\ytnnews.csv
3057,3분동안,0,./data\ytnnews.csv
3014,헐 미친,0,./data\ytnnews.csv
1972,사진 쩔,0,./data\subusunews.csv
9471,역 겹다,0,./data\문재인.csv
6288,헐 대박,0,./data\김계란.csv
9439,에이 퉤,0,./data\문재인.csv
995,껌 바이,0,./data\subusunews.csv
13203,아 뭐랭,0,./data\문재인.csv
1295,후 빡쳐,0,./data\subusunews.csv
4977,참 곱다,0,./data\김계란.csv
3694,계정 앎,0,./data\고영욱.csv
978,껌 고만,0,./data\subusunews.csv
973,껌 안녕,0,./data\subusunews.csv
1881,12살껄,0,./data\subusunews.csv
4303,광고 각,0,./data\김계란.csv
6533,와우 비,0,./data\김계란.csv
6504,헐 대박,0,./data\김계란.csv
1918,하 쓰바,1,./data\subusunews.csv
1071,오 내년,0,./data\subusunews.csv
4197,광고 ㄷ,0,./data\김계란.csv
1919,이거 봐,0,./data\subusunews.csv
4118,형 힘내,0,./data\김계란.csv
1126,응 광고,0,./data\subusunews.csv
6443,헐 비다,0,./data\김계란.csv
171,이거 봐,0,./data\JTBCNEWS_인스타_댓글_1116.csv
220,와 억장,0,./data\JTBCNEWS_인스타_댓글_1116.csv
1926,와 대박,0,./data\subusunews.csv
1178,와 미친,0,./data\subusunews.csv
13106,현실U2,0,./data\문재인.csv
1193,진짜 하,0,./data\subusunews.csv
13121,U2 오,0,./data\문재인.csv
3792,윽 으윽,0,./data\고영욱.csv
6329,와 대박,0,./data\김계란.csv
3696,와 ㄹㅇ,0,./data\고영욱.csv
11489,탈모 빔,0,./data\문재인.csv
8299,더 강함,0,./data\문재인.csv
3051,와 진짜,0,./data\ytnnews.csv
11479,캬악 투,0,./data\문재인.csv
2698,와 개꿀,0,./data\subusunews.csv
11616,아 ㅋㅋ,0,./data\문재인.csv
5936,계란 짱,0,./data\김계란.csv
1808,와 쩌러,0,./data\subusunews.csv
5628,와 미친,0,./data\김계란.csv
1641,5호선야,0,./data\subusunews.csv
2337,쏘 유익,0,./data\subusunews.csv
5640,와 대박,0,./data\김계란.csv
2161,와 대박,0,./data\subusunews.csv
5641,30테라,0,./data\김계란.csv
2418,헐 대박,0,./data\subusunews.csv
2356,와 이걸,0,./data\subusunews.csv
5678,30테라,0,./data\김계란.csv
2771,사줘 ㅜ,0,./data\subusunews.csv
2369,옹 싱기,0,./data\subusunews.csv
6691,진짜 비,0,./data\김계란.csv
2360,이제 암,0,./data\subusunews.csv
2296,ㅘ 꿀팁,0,./data\subusunews.csv
1581,제발 좀,0,./data\subusunews.csv
8095,잘 했어,0,./data\문재인.csv
2234,넌 아나,0,./data\subusunews.csv
1577,선 넘네,0,./data\subusunews.csv
2710,오 대박,0,./data\subusunews.csv
1762,귀 조심,0,./data\subusunews.csv
2225,오 꿀팁,0,./data\subusunews.csv
13525,와 명언,0,./data\문재인.csv
2755,와 쩐다,0,./data\subusunews.csv
2180,올 굼미,0,./data\subusunews.csv
5951,쉩 천국,0,./data\김계란.csv
4804,뽀얀 개란,0,./data\김계란.csv
6012,조합 ㄷㄷ,0,./data\김계란.csv
885,머해 거서,0,./data\mbc댓글.csv
9826,장ㅇ ㅇ샊,0,./data\문재인.csv
9721,의사 박씨,0,./data\문재인.csv
4789,건치 ㄷㄷ,0,./data\김계란.csv
5770,오 야광충,0,./data\김계란.csv
9814,간나 쉐키,2,./data\문재인.csv
5732,형 나죽어,0,./data\김계란.csv
954,어여 사와,0,./data\subusunews.csv
6015,와 김종국,0,./data\김계란.csv
930,빵 사온나,0,./data\subusunews.csv
4624,레깅스 핏,0,./data\김계란.csv
4625,쉬지 ㅠㅠ,0,./data\김계란.csv
5863,너도 들어,0,./data\김계란.csv
4748,귀여웡 ㅠ,0,./data\김계란.csv
5916,반숙 직전,0,./data\김계란.csv
4738,건치 미남,0,./data\김계란.csv
4627,밥 아저씨,0,./data\김계란.csv
4728,귀 엽 다,0,./data\김계란.csv
6432,와 레전드,0,./data\김계란.csv
4828,귀여웡 퓨,0,./data\김계란.csv
6469,와 미쳤다,0,./data\김계란.csv
5983,짱멋 존멋,0,./data\김계란.csv
5955,헐 김종쿡,0,./data\김계란.csv
4724,형 사랑해,0,./data\김계란.csv
4651,예쁜 계란,0,./data\김계란.csv
6076,뭔 프로죵,0,./data\김계란.csv
4834,치열 곱네,0,./data\김계란.csv
5502,악넘 큐티,0,./data\김계란.csv
4889,곱다 고와,0,./data\김계란.csv
5291,메일이 빡,0,./data\김계란.csv
5325,내 이상형,0,./data\김계란.csv
678,와 참ㄴㅏ,0,./data\kbs댓글.csv
