,악플여부
58916,0
35218,0
28137,0
81016,0
28812,0
111421,1
85910,1
94500,1
18856,0
39557,0
78306,0
17004,0
114653,0
40784,0
96440,1
110006,1
75662,0
41133,0
82926,1
16597,0
33605,0
89281,1
60448,0
12925,0
11100,0
26900,0
29479,0
39109,0
73053,0
76417,1
46634,1
105115,1
52790,0
48212,0
99132,0
113923,1
10511,0
95301,1
73772,0
83422,1
38783,0
49437,0
3674,0
40727,0
32122,0
59756,1
10733,0
22486,0
114583,0
42124,0
76929,0
35391,0
108139,1
52491,1
35053,0
31292,0
19364,0
74092,0
81679,1
53274,0
65962,0
28387,0
3691,0
5478,0
67660,0
63784,0
84918,1
21609,0
61837,0
53417,0
79129,0
14983,0
70683,1
7813,0
70069,0
84152,1
60508,0
46087,1
99485,1
63926,0
46693,0
31973,0
66864,0
98979,1
60242,0
96126,1
93681,1
41172,0
722,0
66432,1
27977,0
48671,0
101752,1
113476,1
97836,1
51101,0
99690,1
79442,0
106709,1
8931,0
19835,0
80210,0
61291,1
90130,0
103032,1
107942,1
58852,0
104246,1
8794,0
89313,1
107958,1
33387,0
89478,1
75749,0
84866,1
107391,1
38467,1
12964,0
73076,1
34640,0
70114,0
21614,0
93795,1
33588,0
70730,0
12888,0
26510,0
112180,1
48078,0
99895,1
52520,0
108296,1
56375,0
114552,0
7921,0
112109,1
112508,1
78347,0
77540,1
47298,1
99564,1
58669,0
51721,0
58076,0
1858,0
49156,0
98740,0
64727,0
38049,0
98696,0
77405,0
11345,0
81609,0
32748,0
64273,0
103298,1
64176,0
90288,1
70492,0
61615,0
30760,1
30009,0
25876,0
99925,1
29082,0
7445,0
113718,1
20386,0
60223,0
37866,0
20242,0
59441,0
97480,1
56108,1
35263,1
18963,0
50086,0
10437,0
62272,0
67684,0
61150,0
62794,0
46575,0
100025,1
35768,0
4342,0
114304,0
49789,1
11589,0
22302,0
41753,0
54204,0
34308,0
109586,1
48834,0
56979,0
107878,1
18867,0
36774,0
3877,0
95486,1
79718,0
31092,0
62635,0
87350,0
26133,0
64577,0
78056,0
92467,1
6936,0
62279,0
105701,1
26957,0
17738,0
27518,0
69109,0
32383,0
62768,0
5640,0
74164,0
94273,1
60005,0
106820,1
661,0
42290,0
23632,0
104621,1
103033,1
54762,0
57467,0
89499,1
7724,0
42950,1
13454,0
22448,0
104973,1
40105,0
58902,1
90508,1
6831,0
83357,1
46979,0
32138,0
67888,0
93905,1
20085,0
68784,0
74719,0
56666,0
63948,0
6643,0
95577,0
4792,0
98695,1
47129,0
25490,0
72321,1
18651,0
106579,1
41700,0
105682,1
111878,1
30211,0
57000,1
29370,0
51666,0
70670,0
32704,0
65504,1
32530,0
91571,1
82310,1
61463,0
19800,0
1402,0
79771,0
31913,0
56426,0
4095,0
45481,0
89573,1
54291,0
22119,0
108589,1
111308,1
111869,1
43224,0
80064,1
46940,0
58115,0
9140,0
81662,1
81217,0
96445,1
5971,0
13166,1
17213,0
67839,0
102517,1
97042,1
43432,0
59979,0
58028,0
21311,0
78456,0
38930,0
14598,0
1790,0
64372,0
58464,0
25011,0
83912,1
89766,1
76784,0
90735,1
20163,0
97649,1
43497,0
74980,0
7221,0
34038,0
102731,1
14142,0
59870,0
31942,0
72595,0
48239,0
9771,0
20585,0
70053,0
72455,0
34552,0
40230,0
109098,1
95988,1
29107,0
25275,0
100814,1
85033,0
68037,0
53741,1
62919,0
4440,0
28963,0
40357,0
4628,0
47742,0
90213,1
91397,0
100698,1
5253,0
35641,0
88979,1
110224,1
108292,1
71115,1
84734,1
82489,0
76392,0
4845,0
85280,1
77398,0
36357,1
30749,0
111450,1
16094,0
103111,1
40685,0
68139,1
53535,0
112806,1
80949,0
45449,0
80187,1
59963,0
107157,1
104765,1
35225,0
32964,0
103806,1
65492,0
30571,0
49082,0
54284,0
86595,1
102594,1
13103,0
91646,1
34876,0
68508,0
83186,1
26700,1
38931,1
69198,0
75011,0
38912,0
6149,0
100451,1
39267,0
31686,0
69461,0
85302,1
53256,0
4149,0
44184,1
34456,0
63958,1
49013,1
77463,0
15264,0
49229,1
37111,0
58757,0
43858,1
11624,0
43662,0
77067,0
91037,1
82218,1
67125,1
88001,1
54092,0
15510,0
44025,0
84874,1
74602,0
112720,1
82570,1
6041,0
30311,0
26786,0
16109,0
11928,0
93875,1
79398,1
54462,0
61179,0
3158,0
5102,0
62721,0
3408,0
16757,0
107033,1
104802,1
64380,1
74790,0
109078,1
70416,0
72152,0
84276,1
6177,0
42039,0
43854,0
56804,0
23297,0
40556,0
108696,1
84496,1
29090,0
9866,0
71555,0
9512,0
4263,0
103425,1
80188,0
65659,0
53552,0
7500,0
31599,0
43562,0
72795,0
36516,1
87738,1
108130,1
89359,1
48998,0
112398,1
52293,0
82865,1
42527,1
89595,1
86266,1
64880,0
4885,0
47990,0
50766,0
13302,0
43036,0
88941,1
13180,0
26283,0
80598,0
69333,0
65935,0
102585,1
113437,1
105192,1
88179,0
54491,0
24382,0
27799,0
96468,1
87171,1
57417,0
104116,1
74988,0
65164,0
96866,1
79602,0
1476,0
14259,0
43134,1
58122,0
80134,0
93407,0
5269,0
19341,0
110491,1
81567,1
71927,1
54336,0
17064,0
53622,1
50239,0
35706,0
114197,1
36199,0
57047,0
16883,0
104734,1
100007,1
654,0
105189,1
3544,0
32867,0
19729,0
7625,0
